"","phylum_class","nb_NS","nb_NS_ncbi","nb_NS_withCS","nb_NS_withCS_ncbi","mean_Nb_CS_perCpx","sd_Nb_CS_perCpx","tot_BS_inCS","prop_withCS_ncbi","total_estim_BS","estim_missed_BS","prop_missed_BS","prop_withCSncbi_ncbi","total_estim_BS_bis","estim_missed_BS_bis","prop_missed_BS_bis"
"11","Chordata_Actinopterygii",16466,7850,89,87,3.06060606060606,3.39905145223264,404,0.0113375796178344,16850.6833893071,384.683389307083,0.0233622852731133,0.0110828025477707,16842.0388187609,376.038818760859,0.0228372900984367
"12","Chordata_Ascidiacea",2900,227,13,12,3,1.75119007154183,48,0.0572687224669604,3232.15859030837,332.15859030837,0.114537444933921,0.052863436123348,3206.60792951542,306.607929515418,0.105726872246696
"13","Chordata_Elasmobranchii",1169,706,8,8,2.88888888888889,2.31540733157497,26,0.0113314447592068,1194.02108907775,25.0210890777462,0.0214038401007239,0.0113314447592068,1194.02108907775,25.0210890777462,0.0214038401007239
"14","Chordata_Leptocardii",30,10,1,1,3,NA,3,0.1,36,6.00000000000001,0.2,0.1,36,6,0.2
"15","Chordata_Reptilia",93,72,3,3,2,0,6,0.0416666666666667,96.875,3.875,0.0416666666666667,0.0416666666666667,96.875,3.87499999999999,0.0416666666666665
"16","Cnidaria_Anthozoa",6934,1614,26,25,2.63414634146341,1.26008129819023,108,0.0161090458488228,7116.53434883791,182.534348837912,0.0263245383383202,0.0154894671623296,7109.51379695953,175.513796959532,0.0253120560945387
"17","Cnidaria_Hydrozoa",3567,673,20,19,3.16363636363636,1.97918460916907,174,0.0297176820208024,3796.3518843712,229.3518843712,0.0642982574631905,0.0282317979197623,3784.88429015264,217.884290152641,0.0610833445900312
"18","Cnidaria_Scyphozoa",220,68,3,3,3.33333333333333,1.49747261825525,40,0.0441176470588235,242.647058823529,22.6470588235294,0.102941176470588,0.0441176470588235,242.647058823529,22.6470588235294,0.102941176470588
"19","Cycliophora_Eucycliophora",2,2,1,1,3,NA,3,0.5,4,2,1,0.5,4,2,1
"20","Echinodermata_Asteroidea",1850,381,11,11,2.66666666666667,1.17513930278601,40,0.0288713910761155,1939.02012248469,89.0201224846894,0.0481189851268591,0.0288713910761155,1939.02012248469,89.0201224846894,0.0481189851268591
"21","Echinodermata_Crinoidea",665,146,2,2,3.5,2.12132034355964,7,0.0136986301369863,687.77397260274,22.7739726027397,0.0342465753424657,0.0136986301369863,687.77397260274,22.7739726027397,0.0342465753424657
"22","Echinodermata_Echinoidea",1009,243,4,3,2.5,1.22474487139159,15,0.0164609053497942,1033.91358024691,24.9135802469134,0.0246913580246912,0.0123456790123457,1027.68518518518,18.685185185185,0.0185185185185183
"23","Echinodermata_Holothuroidea",1696,201,2,2,2.33333333333333,0.577350269189626,7,0.00995024875621891,1718.5008291874,22.5008291873962,0.0132669983416251,0.00995024875621891,1718.5008291874,22.5008291873962,0.0132669983416251
"24","Echinodermata_Ophiuroidea",2076,331,10,10,2.85185185185185,1.81242938756253,77,0.0302114803625378,2192.1463578382,116.146357838201,0.0559471858565515,0.0302114803625378,2192.1463578382,116.146357838201,0.0559471858565515
"25","Gastrotricha_",489,71,1,1,NA,NA,NA,0.0140845070422535,NA,NA,NA,0.0140845070422535,NA,NA,NA
"26","Kinorhyncha_",188,41,1,1,NA,NA,NA,0.024390243902439,NA,NA,NA,0.024390243902439,NA,NA,NA
"27","Mollusca_Bivalvia",8196,1309,27,26,2.89285714285714,2.14888921718288,81,0.0206264323911383,8515.99552548292,319.99552548292,0.039042889883226,0.0198624904507257,8504.14383935392,308.143839353923,0.037596856924588
"28","Mollusca_Cephalopoda",807,362,8,8,2.9047619047619,1.22085060121056,61,0.0220994475138122,840.97000789266,33.9700078926597,0.0420941857405945,0.0220994475138122,840.97000789266,33.9700078926597,0.0420941857405945
"29","Mollusca_Gastropoda",34393,4087,78,68,3.53636363636364,4.02213433853193,389,0.019084903352092,36057.8363235981,1664.83632359811,0.0484062548657607,0.0166381208710546,35844.3957692906,1451.39576929065,0.0422003247547654
"30","Mollusca_Polyplacophora",977,171,1,1,3,1.4142135623731,6,0.00584795321637427,988.426900584795,11.4269005847955,0.0116959064327487,0.00584795321637427,988.426900584795,11.4269005847955,0.0116959064327487
