i,cs_present,size,phylum
Dalhousiella,FALSE,4,Annelida
Danymene,FALSE,1,Annelida
Dasybranchethus,FALSE,2,Annelida
Dasybranchus,FALSE,13,Annelida
Dasynema,FALSE,1,Annelida
Dattaguptus,FALSE,1,Annelida
Dayipsammolyce,FALSE,1,Annelida
Daylithos,FALSE,2,Annelida
Decamastus,FALSE,2,Annelida
Decemunciger,FALSE,1,Annelida
Dendronereides,FALSE,3,Annelida
Dendronereis,FALSE,5,Annelida
Dentatisyllis,FALSE,8,Annelida
Desdemona,FALSE,5,Annelida
Dialychone,FALSE,18,Annelida
Diaphorosoma,FALSE,1,Annelida
Dilepidonotus,FALSE,1,Annelida
Dinophilus,FALSE,11,Annelida
Diopatra,FALSE,63,Annelida
Dioplosyllis,FALSE,2,Annelida
Diplaconotum,FALSE,1,Annelida
Diplobrachia,FALSE,7,Annelida
Diplocirrus,FALSE,21,Annelida
Disconatis,FALSE,2,Annelida
Dispio,FALSE,17,Annelida
Ditrupa,FALSE,2,Annelida
Diurodrilus,FALSE,7,Annelida
Dodecaceria,FALSE,23,Annelida
Dodecamastus,FALSE,1,Annelida
Dolichobdella,FALSE,1,Annelida
Doliodrilus,FALSE,10,Annelida
Dollfusobdella,FALSE,1,Annelida
Dorvillea,FALSE,20,Annelida
Drieschella,FALSE,1,Annelida
Drieschia,FALSE,4,Annelida
Drieschiopsis,FALSE,1,Annelida
Drilognathus,FALSE,1,Annelida
Drilonereis,FALSE,33,Annelida
Duridrilus,FALSE,7,Annelida
Dysponetus,FALSE,16,Annelida
Ecamphicteis,FALSE,1,Annelida
Echinofabricia,FALSE,4,Annelida
Echiurus,FALSE,4,Annelida
Eclysippe,FALSE,4,Annelida
Eenymeenymyzostoma,FALSE,2,Annelida
Ehlersia,FALSE,3,Annelida
Ehlersiella,FALSE,2,Annelida
Ehlersileanira,FALSE,1,Annelida
Eliberidens,FALSE,2,Annelida
Elisesione,FALSE,3,Annelida
Emaga,FALSE,1,Annelida
Enapteris,FALSE,1,Annelida
Enchytraeus,FALSE,14,Annelida
Endecamera,FALSE,1,Annelida
Endomyzostoma,FALSE,2,Annelida
Enipo,FALSE,11,Annelida
Enoplobranchus,FALSE,1,Annelida
Eone,FALSE,1,Annelida
Ephesiella,FALSE,16,Annelida
Ephesiopsis,FALSE,1,Annelida
Epigamia,FALSE,9,Annelida
Eranno,FALSE,9,Annelida
Erinaceusyllis,FALSE,16,Annelida
Erseia,FALSE,1,Annelida
Escarpia,FALSE,3,Annelida
Euarche,FALSE,5,Annelida
Eubonellia,FALSE,3,Annelida
Euchone,FALSE,35,Annelida
Euclymene,FALSE,22,Annelida
Eucranta,FALSE,5,Annelida
Eudistylia,FALSE,6,Annelida
Eulaeospira,FALSE,3,Annelida
Eulagisca,FALSE,5,Annelida
Eulalia,FALSE,64,Annelida
Eulepethus,FALSE,2,Annelida
Eumidia,FALSE,1,Annelida
Eumolpe,FALSE,1,Annelida
Eunereis,FALSE,10,Annelida
Eunicites,FALSE,2,Annelida
Euniphysa,FALSE,11,Annelida
Eunomia,FALSE,2,Annelida
Eunotomastus,FALSE,1,Annelida
Eupanthalis,FALSE,6,Annelida
Euphione,FALSE,6,Annelida
Euphionella,FALSE,4,Annelida
Euphrosine,FALSE,55,Annelida
Euphrosinella,FALSE,2,Annelida
Euphrosinopsis,FALSE,3,Annelida
Eupistella,FALSE,4,Annelida
Eupolymnia,FALSE,23,Annelida
Eupolyodontes,FALSE,7,Annelida
Eupraxillella,FALSE,1,Annelida
Euratella,FALSE,2,Annelida
Eurato,FALSE,1,Annelida
Euritmia,FALSE,4,Annelida
Eurysyllis,FALSE,10,Annelida
Eusamythella,FALSE,2,Annelida
Eusyllis,FALSE,24,Annelida
Euthalenessa,FALSE,5,Annelida
Euthelepus,FALSE,6,Annelida
Exallopus,FALSE,5,Annelida
Exogone,FALSE,86,Annelida
Exogonella,FALSE,1,Annelida
Exogonita,FALSE,1,Annelida
Exogonoides,FALSE,2,Annelida
Fabricia,FALSE,1,Annelida
Fabricinuda,FALSE,8,Annelida
Fabriciola,FALSE,15,Annelida
Fabrisabella,FALSE,2,Annelida
Fauchaldius,FALSE,2,Annelida
Fauchaldonuphis,FALSE,1,Annelida
Fauvelia,FALSE,1,Annelida
Fauvelicirratulus,FALSE,1,Annelida
Fauveliopsis,FALSE,14,Annelida
Ficopomatus,FALSE,4,Annelida
Filograna,FALSE,1,Annelida
Filogranella,FALSE,1,Annelida
Filogranula,FALSE,6,Annelida
Fimbriosthenelais,FALSE,9,Annelida
Flabegraviera,FALSE,3,Annelida
Flabelliderma,FALSE,9,Annelida
Flabelligella,FALSE,4,Annelida
Flabelligena,FALSE,6,Annelida
Flabelliseta,FALSE,1,Annelida
Flabesymbios,FALSE,2,Annelida
Flascarpia,FALSE,1,Annelida
Fletcheria,FALSE,1,Annelida
Floriprotis,FALSE,1,Annelida
Flota,FALSE,2,Annelida
Frennia,FALSE,2,Annelida
Fridericia,FALSE,8,Annelida
Galapagomystides,FALSE,1,Annelida
Galatheabdella,FALSE,2,Annelida
Galathealinum,FALSE,4,Annelida
Galathowenia,FALSE,12,Annelida
Gallardoneris,FALSE,3,Annelida
Ganymedebdella,FALSE,1,Annelida
Gastrolepidia,FALSE,1,Annelida
Gattyana,FALSE,11,Annelida
Gaudichaudius,FALSE,2,Annelida
Geminofilum,FALSE,3,Annelida
Genetyllis,FALSE,13,Annelida
Gesaia,FALSE,8,Annelida
Gesaneris,FALSE,1,Annelida
Gesiella,FALSE,1,Annelida
Gianius,FALSE,4,Annelida
Glandulospio,FALSE,1,Annelida
Glomerula,FALSE,1,Annelida
Glossiphonia,FALSE,1,Annelida
Glycerella,FALSE,1,Annelida
Glycinde,FALSE,19,Annelida
Glyphanostoma,FALSE,1,Annelida
Glyphanostomum,FALSE,7,Annelida
Glyphochaeta,FALSE,1,Annelida
Glyphohesione,FALSE,3,Annelida
Glyptonotobdella,FALSE,1,Annelida
Gnathampharete,FALSE,1,Annelida
Gnatholycastis,FALSE,1,Annelida
Goniada,FALSE,39,Annelida
Goniadella,FALSE,6,Annelida
Goniadides,FALSE,4,Annelida
Goniadopsis,FALSE,4,Annelida
Gorekia,FALSE,1,Annelida
Gorgoniapolynoe,FALSE,8,Annelida
Grassleia,FALSE,1,Annelida
Gravierella,FALSE,1,Annelida
Grubeopolynoe,FALSE,2,Annelida
Grubeosyllis,FALSE,4,Annelida
Grubeulepis,FALSE,12,Annelida
Grubianella,FALSE,4,Annelida
Guillermogonita,FALSE,1,Annelida
Gunnarea,FALSE,1,Annelida
Gymnodorvillea,FALSE,1,Annelida
Gymnonereis,FALSE,7,Annelida
Gyptis,FALSE,23,Annelida
Hadrachaeta,FALSE,1,Annelida
Haematocleptes,FALSE,2,Annelida
Halithea,FALSE,1,Annelida
Halla,FALSE,2,Annelida
Halogenia,FALSE,1,Annelida
Halosydna,FALSE,25,Annelida
Halosydnella,FALSE,6,Annelida
Halosydnopsis,FALSE,1,Annelida
Hamingia,FALSE,2,Annelida
Haplosyllides,FALSE,3,Annelida
Haplosyllis,FALSE,38,Annelida
Hartmania,FALSE,1,Annelida
Hartmaniella,FALSE,3,Annelida
Hartmanipsammolyce,FALSE,1,Annelida
Hartmanonuphis,FALSE,1,Annelida
Hauchiella,FALSE,3,Annelida
Helicosiphon,FALSE,1,Annelida
Helmetophorus,FALSE,1,Annelida
Helmutneris,FALSE,2,Annelida
Hemibdella,FALSE,2,Annelida
Hemifridericia,FALSE,1,Annelida
Hemilepidia,FALSE,4,Annelida
Hemipodia,FALSE,5,Annelida
Henlea,FALSE,4,Annelida
Heptabrachia,FALSE,6,Annelida
Heptaceras,FALSE,4,Annelida
Heptacyclus,FALSE,6,Annelida
Hermadion,FALSE,1,Annelida
Hermadionella,FALSE,3,Annelida
Hermenia,FALSE,3,Annelida
Hermilepidonotus,FALSE,2,Annelida
Hermione,FALSE,4,Annelida
Hermionopsis,FALSE,1,Annelida
Hermodice,FALSE,4,Annelida
Hermonia,FALSE,3,Annelida
Hermundura,FALSE,17,Annelida
Heronidrilus,FALSE,6,Annelida
Hesiocaeca,FALSE,1,Annelida
Hesiodeira,FALSE,1,Annelida
Hesiolyra,FALSE,1,Annelida
Hesione,FALSE,18,Annelida
Hesionella,FALSE,1,Annelida
Hesionides,FALSE,11,Annelida
Hesionura,FALSE,18,Annelida
Hesiospina,FALSE,3,Annelida
Hesperalia,FALSE,1,Annelida
Hesperonoe,FALSE,7,Annelida
Heteralentia,FALSE,1,Annelida
Heteraphrodita,FALSE,2,Annelida
Heterocirrus,FALSE,1,Annelida
Heteroclymene,FALSE,2,Annelida
Heterodrilus,FALSE,42,Annelida
Heteromarphysa,FALSE,1,Annelida
Heteromastus,FALSE,9,Annelida
Heteronereis,FALSE,4,Annelida
Heteropelogenia,FALSE,2,Annelida
Heteropodarke,FALSE,6,Annelida
Heteropolynoe,FALSE,1,Annelida
Heterospio,FALSE,8,Annelida
Heterosyllis,FALSE,1,Annelida
Hilbigneris,FALSE,3,Annelida
Hipponoe,FALSE,1,Annelida
Hirsutonuphis,FALSE,9,Annelida
Histriobdella,FALSE,1,Annelida
Hobsonia,FALSE,1,Annelida
Hodor,FALSE,2,Annelida
Hololepida,FALSE,5,Annelida
Hololepidella,FALSE,12,Annelida
Horstileanira,FALSE,2,Annelida
Hutchingsiella,FALSE,1,Annelida
Hyalinoecia,FALSE,20,Annelida
Hyalopale,FALSE,6,Annelida
Hyalopomatus,FALSE,14,Annelida
Hyalospinifera,FALSE,1,Annelida
Hyboscolex,FALSE,9,Annelida
Hydroides,FALSE,98,Annelida
Hypaniola,FALSE,1,Annelida
Hypereteone,FALSE,8,Annelida
Hyperhalosydna,FALSE,3,Annelida
Hypocirrus,FALSE,1,Annelida
Hypomyzostoma,FALSE,5,Annelida
Hypsicomus,FALSE,5,Annelida
Ichthyotomus,FALSE,1,Annelida
Idanthyrsus,FALSE,20,Annelida
Iheyomytilidicola,FALSE,2,Annelida
Ikeda,FALSE,2,Annelida
Ikedella,FALSE,3,Annelida
Ikedosoma,FALSE,3,Annelida
