EasinID,Name,Authorship,LSID,Reference,HasImpact,IsEUConcern,IsMSConcern,IsOutermostConcern,IsPartNative,IsHorizonScanning,Status
R16748,Ophryotrocha diadema,"Åkesson, 1976",urn:lsid:easin.jrc.ec.europa.eu:species:R16748,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R16748,false,false,false,false,false,false,A
R10392,Ophryotrocha japonica,"Paxton & Åkesson, 2010",urn:lsid:easin.jrc.ec.europa.eu:species:R10392,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10392,false,false,false,false,false,false,A
R10393,Ophrys insectifera,L.,urn:lsid:easin.jrc.ec.europa.eu:species:R10393,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10393,false,false,false,false,true,false,A
R10396,Opilio canestrinii,"(Thorell, 1876)",urn:lsid:easin.jrc.ec.europa.eu:species:R10396,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10396,false,false,false,false,true,false,A
R10397,Opilio parietinus,"(DeGeer, 1778)",urn:lsid:easin.jrc.ec.europa.eu:species:R10397,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10397,false,false,false,false,false,false,A
R10398,Opilio ruzickai,"Silhavy, 1938",urn:lsid:easin.jrc.ec.europa.eu:species:R10398,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10398,false,false,false,false,true,false,A
R10399,Opilo domesticus,"(Sturm, 1837)",urn:lsid:easin.jrc.ec.europa.eu:species:R10399,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10399,false,false,false,false,true,false,A
R10400,Opilo mollis,"(Linnaeus, 1758)",urn:lsid:easin.jrc.ec.europa.eu:species:R10400,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10400,false,false,false,false,true,false,A
R10402,Opius dimidiatus,"(Ashmead, 1889)",urn:lsid:easin.jrc.ec.europa.eu:species:R10402,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10402,false,false,false,false,false,false,A
R16749,Oplegnathus fasciatus,"Krøyer, 1845",urn:lsid:easin.jrc.ec.europa.eu:species:R16749,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R16749,false,false,false,false,false,false,A
R10404,Oplismenus hirtellus,(L.) P.Beauv.,urn:lsid:easin.jrc.ec.europa.eu:species:R10404,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10404,false,false,false,false,true,false,A
R10405,Oplismenus undulatifolius,(Ard.) Roem. & Schult.,urn:lsid:easin.jrc.ec.europa.eu:species:R10405,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10405,false,false,false,false,true,false,A
R10406,Opogona omoscopa,"(Meyrick, 1893)",urn:lsid:easin.jrc.ec.europa.eu:species:R10406,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10406,false,false,false,false,false,false,A
R10407,Opogona sacchari,"(Bojer, 1856)",urn:lsid:easin.jrc.ec.europa.eu:species:R10407,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10407,true,false,false,false,false,false,A
R19606,Opsariichthys uncirostris,"(Temminck & Schlegel, 1846)",urn:lsid:easin.jrc.ec.europa.eu:species:R19606,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19606,true,false,true,false,false,false,A
R10408,Opsius stactogalus,"Fieber, 1866",urn:lsid:easin.jrc.ec.europa.eu:species:R10408,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10408,false,false,false,false,true,false,C
R10409,Opuntaspis philococcus,"(Cockerell, 1893) ",urn:lsid:easin.jrc.ec.europa.eu:species:R10409,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10409,false,false,false,false,false,false,A
R10412,Opuntia caespitosa,Raf.,urn:lsid:easin.jrc.ec.europa.eu:species:R10412,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10412,false,false,false,false,false,false,Q
R10413,Opuntia crassa,Haw.,urn:lsid:easin.jrc.ec.europa.eu:species:R10413,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10413,false,false,false,false,false,false,A
R18942,Opuntia dillenii,(Ker Gawl.) Haw.,urn:lsid:easin.jrc.ec.europa.eu:species:R18942,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R18942,true,false,true,true,false,false,A
R19988,Opuntia elatior,Mill.,urn:lsid:easin.jrc.ec.europa.eu:species:R19988,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R19988,false,false,false,false,false,false,A
R10415,Opuntia engelmannii,Salm-Dyck ex Engelm.,urn:lsid:easin.jrc.ec.europa.eu:species:R10415,https://easin.jrc.ec.europa.eu/spexplorer/species/factsheet/R10415,false,false,false,false,false,false,A
