nb_zones	isInSurvey	year
3	FALSE	1776
4	TRUE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
4	FALSE	NA
2	FALSE	NA
3	FALSE	1758
1	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
5	FALSE	NA
3	FALSE	NA
3	FALSE	1911
2	FALSE	NA
3	FALSE	1818
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	1896
2	FALSE	NA
1	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	1815
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	1849
1	FALSE	NA
3	FALSE	NA
3	FALSE	NA
4	FALSE	NA
3	FALSE	NA
2	FALSE	1859
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
4	FALSE	1758
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
4	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
4	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	1870
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	1818
2	FALSE	NA
2	FALSE	NA
1	FALSE	1834
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	1879
5	FALSE	NA
1	FALSE	NA
5	FALSE	NA
2	FALSE	1758
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
4	FALSE	NA
3	FALSE	NA
3	FALSE	1833
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
1	FALSE	1959
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	1819
3	FALSE	NA
3	FALSE	1798
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	1807
1	FALSE	NA
2	FALSE	NA
5	FALSE	NA
3	FALSE	1897
3	FALSE	NA
3	FALSE	NA
4	TRUE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	1758
2	FALSE	NA
3	FALSE	NA
4	FALSE	NA
1	FALSE	NA
2	FALSE	1847
2	TRUE	NA
3	FALSE	1891
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
2	FALSE	1875
3	FALSE	NA
4	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	1987
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
4	FALSE	NA
4	FALSE	NA
2	FALSE	NA
1	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	TRUE	1758
2	FALSE	NA
2	FALSE	NA
4	FALSE	1778
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	FALSE	NA
1	FALSE	1952
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
5	FALSE	1843
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
1	FALSE	NA
1	FALSE	NA
3	FALSE	1758
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	2002
4	TRUE	1843
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
1	FALSE	NA
2	FALSE	NA
2	FALSE	NA
4	FALSE	1833
4	FALSE	NA
3	FALSE	1846
2	FALSE	NA
3	FALSE	NA
2	FALSE	1815
4	FALSE	NA
5	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
1	FALSE	1908
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
5	FALSE	1897
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	2000
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	1967
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
4	FALSE	NA
3	FALSE	NA
4	FALSE	NA
2	FALSE	NA
2	FALSE	1788
3	FALSE	1846
1	FALSE	NA
1	TRUE	1974
1	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	1817
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
4	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	1832
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	1758
2	FALSE	NA
1	FALSE	NA
1	TRUE	1907
4	FALSE	NA
3	TRUE	NA
3	FALSE	1758
2	FALSE	NA
1	FALSE	NA
3	FALSE	1846
2	FALSE	NA
2	FALSE	NA
4	FALSE	1887
1	FALSE	NA
3	FALSE	1887
2	FALSE	NA
5	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	1833
2	FALSE	1842
1	FALSE	NA
4	FALSE	NA
1	TRUE	NA
2	FALSE	NA
1	FALSE	NA
3	FALSE	NA
2	FALSE	1958
1	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	1889
1	FALSE	1851
3	TRUE	1846
4	FALSE	NA
4	FALSE	NA
2	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	1822
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	1758
2	FALSE	NA
3	FALSE	NA
1	FALSE	1855
4	FALSE	NA
1	FALSE	NA
1	FALSE	1988
1	FALSE	1991
3	TRUE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	1818
3	FALSE	NA
4	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	1832
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	TRUE	NA
1	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
3	TRUE	NA
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
1	FALSE	1862
1	FALSE	NA
2	FALSE	NA
5	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	TRUE	NA
1	FALSE	NA
1	FALSE	NA
3	FALSE	1912
2	FALSE	1772
2	FALSE	NA
4	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	1758
3	TRUE	NA
2	FALSE	NA
1	FALSE	NA
1	FALSE	NA
4	FALSE	NA
4	FALSE	1867
2	FALSE	1972
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
4	FALSE	NA
3	FALSE	NA
1	FALSE	NA
1	FALSE	NA
3	FALSE	NA
4	FALSE	1836
1	FALSE	NA
3	FALSE	NA
2	FALSE	1994
3	TRUE	1798
2	FALSE	NA
1	FALSE	NA
2	FALSE	NA
3	FALSE	NA
1	FALSE	NA
1	FALSE	1854
3	FALSE	1856
4	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
4	TRUE	NA
1	FALSE	1829
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	1767
3	FALSE	1758
3	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
4	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
4	FALSE	1866
3	FALSE	NA
1	FALSE	1892
2	FALSE	NA
2	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	NA
3	FALSE	NA
3	FALSE	1767
1	FALSE	NA
1	FALSE	1976
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	1886
3	FALSE	NA
2	FALSE	NA
4	FALSE	NA
3	FALSE	1846
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
3	FALSE	NA
1	FALSE	1930
3	FALSE	NA
3	FALSE	1768
2	FALSE	NA
4	FALSE	1758
3	TRUE	NA
4	TRUE	NA
2	FALSE	1907
2	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	NA
3	FALSE	NA
2	FALSE	1819
3	FALSE	NA
