Class	Value	Variable	Class_num	z_score
Enoplea	4	Genitals	39	4
Chromadorea	4	Genitals	40	4
Heterotardigrada	-4	Genitals	41	-4
Eutardigrada	-4	Genitals	42	-4
Diplopoda	4	Genitals	46	4
Chilopoda	4	Genitals	47	4
Ostracoda	4	Genitals	50	4
Malacostraca	4	Genitals	51	4
Thecostraca	4	Genitals	52	4
Copepoda	4	Genitals	53	4
Remipedia	4	Genitals	56	4
Cephalocarida	4	Genitals	57	4
Branchiopoda	4	Genitals	55	4
Tantulocarida	4	Genitals	54	4
Collembola	4	Genitals	48	4
Insecta	4	Genitals	49	4
Pycnogonida	-4	Genitals	43	-4
Merostomata	-4	Genitals	44	-4
Arachnida	4	Genitals	45	4
Clitellata	-4	Genitals	25	-4
Polychaeta	-4	Genitals	26	-4
Nemertea	-4	Genitals	27	-4
Rhynchonellata	-4	Genitals	28	-4
Lingulata	-4	Genitals	29	-4
Craniata	-4	Genitals	30	-4
Eurotatoria	4	Genitals	24	4
Monoplacophora	-4	Genitals	33	-4
Gastropoda	0	Genitals	34	0
Bivalvia	-4	Genitals	35	-4
Polyplacophora	-4	Genitals	36	-4
Caudofoveata	-4	Genitals	37	-4
Solenogastres	-4	Genitals	38	-4
Scaphopoda	-4	Genitals	32	-4
Cephalopoda	4	Genitals	31	4
Gymnolaemata	-4	Genitals	23	-4
Homoscleromorpha	-4	Genitals	1	-4
Hexactinellida	-4	Genitals	2	-4
Calcarea	-4	Genitals	4	-4
Demospongiae	-4	Genitals	3	-4
Anthozoa	4	Hard_skeleton	5	4
Cubozoa	-4	Hard_skeleton	7	-4
Hydrozoa	-4	Hard_skeleton	8	-4
Scyphozoa	-4	Hard_skeleton	6	-4
Leptocardii	-4	Hard_skeleton	9	-4
Ascidiacea	-4	Hard_skeleton	10	-4
Elasmobranchii	4	Hard_skeleton	11	4
Holocephali	4	Hard_skeleton	12	4
Reptilia	4	Hard_skeleton	14	4
Mammalia	4	Hard_skeleton	15	4
Actinopterygii	4	Hard_skeleton	13	4
Sagittoidea	-4	Hard_skeleton	16	-4
Enteropneusta	-4	Hard_skeleton	17	-4
Crinoidea	4	Hard_skeleton	18	4
Holothuroidea	4	Hard_skeleton	19	4
Echinoidea	4	Hard_skeleton	20	4
Ophiuroidea	4	Hard_skeleton	21	4
Asteroidea	4	Hard_skeleton	22	4
Enoplea	4	Hard_skeleton	39	4
Chromadorea	4	Hard_skeleton	40	4
Heterotardigrada	-4	Hard_skeleton	41	-4
Eutardigrada	-4	Hard_skeleton	42	-4
Diplopoda	4	Hard_skeleton	46	4
Chilopoda	4	Hard_skeleton	47	4
Ostracoda	4	Hard_skeleton	50	4
Malacostraca	4	Hard_skeleton	51	4
Thecostraca	4	Hard_skeleton	52	4
Copepoda	4	Hard_skeleton	53	4
Remipedia	4	Hard_skeleton	56	4
Cephalocarida	4	Hard_skeleton	57	4
Branchiopoda	4	Hard_skeleton	55	4
Tantulocarida	4	Hard_skeleton	54	4
Collembola	4	Hard_skeleton	48	4
Insecta	4	Hard_skeleton	49	4
Pycnogonida	4	Hard_skeleton	43	4
Merostomata	4	Hard_skeleton	44	4
Arachnida	4	Hard_skeleton	45	4
Clitellata	-4	Hard_skeleton	25	-4
Polychaeta	-4	Hard_skeleton	26	-4
Nemertea	-4	Hard_skeleton	27	-4
Rhynchonellata	4	Hard_skeleton	28	4
Lingulata	4	Hard_skeleton	29	4
Craniata	4	Hard_skeleton	30	4
Eurotatoria	4	Hard_skeleton	24	4
Monoplacophora	4	Hard_skeleton	33	4
Gastropoda	4	Hard_skeleton	34	4
Bivalvia	-4	Hard_skeleton	35	-4
Polyplacophora	4	Hard_skeleton	36	4
Caudofoveata	-4	Hard_skeleton	37	-4
Solenogastres	-4	Hard_skeleton	38	-4
Scaphopoda	4	Hard_skeleton	32	4
Cephalopoda	4	Hard_skeleton	31	4
Gymnolaemata	4	Hard_skeleton	23	4
Homoscleromorpha	4	Hard_skeleton	1	4
Hexactinellida	4	Hard_skeleton	2	4
Calcarea	4	Hard_skeleton	4	4
Demospongiae	4	Hard_skeleton	3	4
