,V1,num_cs,num_worms,Prop-missing,Nb_bio_missing,,,,,Class,Value,Variable,Class_num,z-score,,,,,Class,Class_num,z_score,,Class,Value,Variable,Class_num,z-score
,,,,,,,,,,Palaeonemertea,0.713043478,3prop_missing,23,-0.210836175,,,Sagittoidea,17,3,,,,,,,,
,,,,,,,,,,Eurotatoria,0.823943662,3prop_missing,20,0.432004476,,,Enteropneusta,18,3,,,,,,,,
,,,,,,,,,,Gastropoda,0.85200868,3prop_missing,27,0.594685314,,,Crinoidea,19,3,,,,,,,,
,,,,,,,,,,Bivalvia,0.810898204,3prop_missing,28,0.356385567,,,Holothuroidea,20,3,,,,,,,,
,,,,,,,,,,Polyplacophora,0.781128405,3prop_missing,29,0.183822851,,,Echinoidea,21,3,,,,,,,,
,,,,,,,,,,Cephalopoda,0.465370595,3prop_missing,26,-1.646489317,,,Ophiuroidea,22,3,,,,,,,,
,,,,,,,,,,Gymnolaemata,0.939711898,3prop_missing,19,1.103063129,,,Asteroidea,23,3,,,,,,,,
,,,,,,,,,,Homoscleromorpha,0.634920635,3prop_missing,1,-0.663680686,,,Enoplea,40,3,,,,,,,,
,,,,,,,,,,Calcarea,0.775535939,3prop_missing,3,0.151405736,,,Chromadorea,41,3,,,,,,,,
,,,,,,,,,,Demospongiae,0.859320674,3prop_missing,2,0.637069794,,,Heterotardigrada,42,3,,,,,,,,
,,,,,,,,,,Anthozoa,225.2645831,4num_bio_missing,4,-0.344041293,,,Eutardigrada,43,3,,,,,,,,
,,,,,,,,,,Cubozoa,171.0342205,4num_bio_missing,6,-0.642516572,,,Diplopoda,47,3,,,,,,,,
,,,,,,,,,,Hydrozoa,270.5450398,4num_bio_missing,7,-0.094824872,,,Chilopoda,48,3,,,,,,,,
,,,,,,,,,,Scyphozoa,285.0570342,4num_bio_missing,5,-0.014953165,,,Ostracoda,51,3,,,,,,,,
,,,,,,,,,,Leptocardii,256.5513308,4num_bio_missing,8,-0.171844017,,,Malacostraca,52,-3,,,,,,,,
,,,,,,,,,,Ascidiacea,256.5513308,4num_bio_missing,9,-0.171844017,,,Thecostraca,53,3,,,,,,,,
,,,,,,,,,,Elasmobranchii,247.0494297,4num_bio_missing,10,-0.224140968,,,Copepoda,54,3,,,,,,,,
,,,,,,,,,,Reptilia,171.0342205,4num_bio_missing,12,-0.642516572,,,Remipedia,56,3,,,,,,,,
,,,,,,,,,,Actinopterygii,261.734186,4num_bio_missing,11,-0.143318408,,,Cephalocarida,57,3,,,,,,,,
,,,,,,,,,,Sagittoidea,256.5513308,4num_bio_missing,13,-0.171844017,,,Branchiopoda,55,-3,,,,,,,,
