SpeciesName
Mytilus edulis
Neilonella salicensis
Nucula atacellana
Ostrea edulis
Ostrea lurida
Pinna (Streptopinna) saccata
Pinna muricata
Thyasira gould
Tridacna crocea
Tridacna maxima
Tridacna ningaloo n. sp.
Tridacna noae
Vesicomya gigas
Xylophaga brava
Doryteuthis plei
Loliolus beka
Lolliguncula brevis
Nautilus spp.
Octopus insularis
Octopus tetricus
Octopus variabilis
Octopus vulgaris
Sepioteuthis cf. lessoniana
Spirula
Uroteuthis (Photololigo) chinensis
Uroteuthis (Photololigo) chinensis
Alcithoe aillaudorum
Alderia modesta
Alderia modesta
Alderia willowi
Alviniconcha hessleri
Anteaeolidiella indica
Ascorhis spp.
"Astralium ""rhodostomum"""
Austrocochlea constricta
Bathytoma spp.
Bosellia mimetica
Bostrycapulus spp.
Buccinum undatum
Cancellopollia gracilis
Cerithidea sp.
Cerithiopsis tubercularis
Chicoreus spp.
Columbella rustica
Conus ebraeus
Conus orbignyi
Conus sponsalis
Costasiella ocellifera
Crepidula plana
Crepidula spp.
Crepipatella fecunda
Crepipatella occulta
Crucibulum quiriquinae
Cryptonatica affinis
Dendronotus spp.
Dendropoma petraeum
Diloma durvillaea
Doris kerguelenensis
Doto coronata
Doto spp.
Echinolittorina trochoides
Echinolittorina vidua
Elysia timida
Elysia timida
Flabellina sp.
Frigidoalvania brychia
Gemmula cf. cosmoi
Gemmula cf. hombroni
Gemmula cf. monolifera
Gemmula cf. rarimaculata
Gemmula cf. sogodensis
Gemmuloborsonia moosai
Glaucus marginatus
Gorgoleptis emarginatus
Hydrobia spp.
Lepetodrilus elevatus
Lepetodrilus ovalis
Lepetodrilus pustulosus
Lepetodrilus tevnianus
Littoraria melanostoma
Littorina scutulata
Littorina sitkana
Lophiotoma cf. acuta
Lophiotoma cf. friedrichbonhoefferi
Lophiotoma cf. indica
Lophiotoma cf. panglaoensis
Lottia digitalis
Lottia digitalis
Lunella cinerea
Lunella coronata
Lunella spp
Melampus bidentatus
Melanochlamys lorrainae
Menathais tuberosa
Nassarius festina
Nassarius livescens
Nassarius nitidus
Naticarius onca
Navanax aenigmaticus
Notoacmea helmsi
Notobryon wardi
Nucella emarginata
Nucella lima
Ocinebrina edwardsii
Okenia harastii sp. nov.
Pachydermia laevis
Patella granularis
Patella rustica
Patelloida profunda
Peltospira operculata
Phestilla
Pirenella alata
Pontohedyle spp.
Propebela turricula
Pseudunela spp.
Pteraeolidia ianthina
Spurilla neapolitana
Stramonita haemastoma
Tectus pyramis
Trochus conus
Turridrupa cf. bijubata
Lepidochitona pseudoliozonis
Geomonhystera disjuncta
Halomonhystera disjuncta
Pellioditis marina
Rhabditis (P.) marina
Rhabditis marina
Thoracostoma trachygaster
Oerstedia dorsalis
Ototyphlonemertes duplex
Ototyphlonemertes erneba
Ototyphlonemertes lactea
Ototyphlonemertes macintoshi
Ototyphlonemertes parmula
Ototyphlonemertes santacruzensis
Ototyphlonemertes spp.
Tetrastemma melanocephalum
Tetrastemma peltatum
Tetrastemma roseocephalum/ pimaculatum
Tetrastemma vermiculus
Cephalothrix alba
Cephalothrix simula
Cephalothrix spiralis
Lineus spp.
Lineus torquatus
Pseudomicrura afzelii gen.
Gyratrix hermaphroditus
Monocelis lineata
Pseudomonocelis agilis
Pseudomonocelis ophiocephala
Clathrina cerebrum
Clathrina clathrus
Clathrina spp.
Leucetta chagosensis
Chondrilla aff. nucula
Chondrilla nucula
Chondrosia reniformis
Cliona celata
Cliona viridis
Hexadella sp.
Latrunculia spp.
Pachymatisma normani
Petrosia ficiformis
Placospongia spp.
Scopalina lophyropoda
Spirastrella sp. cf. mollis
Suberites diversicolor
Suberites ficus
Xestospongia testudinaria
Oscarella spp.
Plakina trilopha
Brachionus plicatilis
Apionsoma misakianum
Aspidosiphon elegans
Aspidosiphon parvulus
Phascolosoma agassizi
Phascolosoma perlucens
Phascolosoma scolops
Sipunculus nudus
Themiste pyroides
Thysanocardia nigra
Echiniscoides sigismundi
