Class	Value	Variable	Class_num	z-score
Hoplonemertea	0.108695652	6_prop_withCS_ncbi	25	2.761471841
Hydrozoa	0.029717682	6_prop_withCS_ncbi	7	-0.176420961
Insecta	0.002915452	6_prop_withCS_ncbi	35	-1.173434164
Leptocardii	0.1	6_prop_withCS_ncbi	8	2.438003235
Malacostraca	0.019042846	6_prop_withCS_ncbi	37	-0.573512994
Ophiuroidea	0.03021148	6_prop_withCS_ncbi	17	-0.158052211
Ostracoda	0.028571429	6_prop_withCS_ncbi	36	-0.219060317
Palaeonemertea	0.111111111	6_prop_withCS_ncbi	23	2.851324232
Pilidiophora	0.031746032	6_prop_withCS_ncbi	24	-0.100968603
Polychaeta	0.05360134	6_prop_withCS_ncbi	22	0.7120246
Polyplacophora	0.005847953	6_prop_withCS_ncbi	29	-1.06434837
Pycnogonida	0.013793103	6_prop_withCS_ncbi	33	-0.768797603
Reptilia	0.041666667	6_prop_withCS_ncbi	12	0.268068001
Sagittoidea	0.05	6_prop_withCS_ncbi	13	0.578058749
Scyphozoa	0.044117647	6_prop_withCS_ncbi	5	0.35924175
Thecostraca	0.030612245	6_prop_withCS_ncbi	38	-0.143144215
Actinopterygii	16850.68339	7_total_estim_BS	11	1.444137427
Anthozoa	7116.534349	7_total_estim_BS	4	0.268320281
Ascidiacea	3232.15859	7_total_estim_BS	9	-0.200885152
Asteroidea	1939.020122	7_total_estim_BS	18	-0.357087238
Bivalvia	8515.995525	7_total_estim_BS	28	0.437365407
Calcarea	782.1971831	7_total_estim_BS	3	-0.49682336
Cephalopoda	840.9700079	7_total_estim_BS	26	-0.489724014
Chromadorea	4363.348018	7_total_estim_BS	31	-0.064245378
Clitellata	1000.079341	7_total_estim_BS	21	-0.470504719
Copepoda	12853.43548	7_total_estim_BS	39	0.961297827
Crinoidea	687.7739726	7_total_estim_BS	14	-0.508229024
Demospongiae	7049.555893	7_total_estim_BS	2	0.260229752
Echinoidea	1033.91358	7_total_estim_BS	16	-0.46641778
Elasmobranchii	1194.021089	7_total_estim_BS	10	-0.447077912
Enoplea	1661.34375	7_total_estim_BS	30	-0.390628602
Eurotatoria	243.1	7_total_estim_BS	20	-0.561942531
Gastropoda	36057.83632	7_total_estim_BS	27	3.76422721
Gymnolaemata	5891.39267	7_total_estim_BS	19	0.120331732
Heterotardigrada	205.7142857	7_total_estim_BS	32	-0.566458464
Holothuroidea	1718.500829	7_total_estim_BS	15	-0.383724426
Homoscleromorpha	114.0357143	7_total_estim_BS	1	-0.577532594
Hoplonemertea	819.3023715	7_total_estim_BS	25	-0.492341313
Hydrozoa	3796.351884	7_total_estim_BS	7	-0.132734547
Insecta	1594.241983	7_total_estim_BS	35	-0.398734026
Leptocardii	36	7_total_estim_BS	8	-0.586958763
Malacostraca	32255.12954	7_total_estim_BS	37	3.304886818
Ophiuroidea	2192.146358	7_total_estim_BS	17	-0.326511358
Ostracoda	6245.028571	7_total_estim_BS	36	0.163048477
Palaeonemertea	154.6666667	7_total_estim_BS	23	-0.572624659
Pilidiophora	477.4603175	7_total_estim_BS	24	-0.533633443
Polychaeta	12454.60298	7_total_estim_BS	22	0.91312165
Polyplacophora	988.4269006	7_total_estim_BS	29	-0.471912252
Pycnogonida	1379.02069	7_total_estim_BS	33	-0.424731254
Reptilia	96.875	7_total_estim_BS	12	-0.579605489
Sagittoidea	144.1	7_total_estim_BS	13	-0.573901039
Scyphozoa	242.6470588	7_total_estim_BS	5	-0.561997243
Thecostraca	NA	7_total_estim_BS	38	NA
