"","scientificName","phylum","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonomicStatus","namePublishedInYear","scientificNameAuthorship","acceptedNameUsage","Npol","Ntemp","Trop","Stemp","Spol","nb_zones","range_long_r100","range_lat_r100","CHull_r100","NbSitesUsed_r100","hasCS","hasRIOK","hasCSss","has1cpa","SimplifiedName","ncbi","mito","dna","mitonuc","dupSN","yearb","gs","phylum_class","area"
"57","Pelagia noctiluca","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Pelagia","","noctiluca",NA,"accepted","","(Forsskål, 1775)","Pelagia noctiluca",FALSE,TRUE,TRUE,TRUE,FALSE,3,214.9037323,45.90661,80230583.48,100,TRUE,TRUE,TRUE,FALSE,"Pelagia noctiluca",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1775,5,"CnidariaScyphozoa","5"
"58","Penaeus japonicus","Arthropoda","Malacostraca","Decapoda","Penaeidae","Penaeus","","japonicus",NA,"accepted","1888","Spence Bate, 1888","Penaeus japonicus",FALSE,TRUE,TRUE,TRUE,FALSE,3,179.4500008,68.8444028,83042037.64,100,TRUE,TRUE,FALSE,TRUE,"Penaeus japonicus",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1888,32,"ArthropodaMalacostraca","5"
"59","Pennaria disticha","Cnidaria","Hydrozoa","Anthoathecata","Pennariidae","Pennaria","","disticha",NA,"accepted","","Goldfuss, 1820","Pennaria disticha",FALSE,TRUE,TRUE,TRUE,FALSE,3,267.89,78.36449814,144861394.2,100,TRUE,TRUE,FALSE,FALSE,"Pennaria disticha",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1820,5,"CnidariaHydrozoa","8"
"60","Physalia physalis","Cnidaria","Hydrozoa","Siphonophorae","Physaliidae","Physalia","","physalis",NA,"accepted","1758","(Linnaeus, 1758)","Physalia physalis",FALSE,TRUE,TRUE,TRUE,TRUE,4,301.009407,121.7335475,218934882,100,TRUE,TRUE,TRUE,TRUE,"Physalia physalis",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1758,1,"CnidariaHydrozoa","12"
"61","Platycephalus indicus","Chordata","Actinopterygii","Scorpaeniformes","Platycephalidae","Platycephalus","","indicus",NA,"accepted","","(Linnaeus, 1758)","Platycephalus indicus",FALSE,TRUE,TRUE,TRUE,FALSE,3,146.7424073,74.7118988,95065240,100,TRUE,FALSE,FALSE,TRUE,"Platycephalus indicus",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1758,19,"ChordataActinopterygii","6"
"62","Platynereis australis","Annelida","Polychaeta","Phyllodocida","Nereididae","Platynereis","","australis",NA,"accepted","","(Schmarda, 1861)","Platynereis australis",FALSE,TRUE,TRUE,TRUE,FALSE,3,261.9116037,97.55096,121331891.4,100,TRUE,FALSE,FALSE,FALSE,"Platynereis australis",TRUE,FALSE,"nuc",FALSE,FALSE,1861,32,"AnnelidaPolychaeta","7"
"63","Plumularia setacea","Cnidaria","Hydrozoa","Leptothecata","Plumulariidae","Plumularia","","setacea",NA,"accepted","","(Linnaeus, 1758)","Plumularia setacea",FALSE,TRUE,TRUE,TRUE,FALSE,3,189.1981758,102.9860885,200559668.7,100,TRUE,FALSE,FALSE,TRUE,"Plumularia setacea",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1758,95,"CnidariaHydrozoa","11"
"64","Polydora ciliata","Annelida","Polychaeta","Spionida","Spionidae","Polydora","","ciliata",NA,"accepted","","(Johnston, 1838)","Polydora ciliata",TRUE,TRUE,TRUE,TRUE,FALSE,4,85.96333467,48.93978567,76989616.68,100,TRUE,TRUE,FALSE,TRUE,"Polydora ciliata",TRUE,FALSE,"nuc",FALSE,FALSE,1838,60,"AnnelidaPolychaeta","5"
"65","Polydora cornuta","Annelida","Polychaeta","Spionida","Spionidae","Polydora","","cornuta",NA,"accepted","1802","Bosc, 1802","Polydora cornuta",FALSE,TRUE,TRUE,TRUE,FALSE,3,256.3016667,30.373517,45806723.06,100,TRUE,TRUE,TRUE,TRUE,"Polydora cornuta",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1802,60,"AnnelidaPolychaeta","3"
"66","Pomacentrus coelestis","Chordata","Actinopterygii","Perciformes","Pomacentridae","Pomacentrus","","coelestis",NA,"accepted","","Jordan & Starks, 1901","Pomacentrus coelestis",FALSE,TRUE,TRUE,TRUE,FALSE,3,168.469143,65.50348,53673789.52,100,TRUE,TRUE,TRUE,TRUE,"Pomacentrus coelestis",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1901,80,"ChordataActinopterygii","3"
"67","Pseudonereis anomala","Annelida","Polychaeta","Phyllodocida","Nereididae","Pseudonereis","","anomala",NA,"accepted","1899","Gravier, 1899","Pseudonereis anomala",FALSE,TRUE,TRUE,TRUE,FALSE,3,160.3589093,74.33070052,81043214.94,100,TRUE,TRUE,FALSE,FALSE,"Pseudonereis anomala",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1899,19,"AnnelidaPolychaeta","5"
"68","Pseudopolydora antennata","Annelida","Polychaeta","Spionida","Spionidae","Pseudopolydora","","antennata",NA,"accepted","","(Claparède, 1869)","Pseudopolydora antennata",TRUE,TRUE,TRUE,TRUE,FALSE,4,219.559,94.97467,188725948.7,100,TRUE,TRUE,FALSE,TRUE,"Pseudopolydora antennata",FALSE,FALSE,"No seq",FALSE,FALSE,1869,23,"AnnelidaPolychaeta","11"
"69","Pseudopolydora paucibranchiata","Annelida","Polychaeta","Spionida","Spionidae","Pseudopolydora","","paucibranchiata",NA,"accepted","","(Okuda, 1937)","Pseudopolydora paucibranchiata",TRUE,TRUE,TRUE,TRUE,FALSE,4,240.34842,99.45183703,158588677.1,100,TRUE,TRUE,FALSE,TRUE,"Pseudopolydora paucibranchiata",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1937,23,"AnnelidaPolychaeta","9"
"70","Sardinella gibbosa","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Sardinella","","gibbosa",NA,"accepted","","(Bleeker, 1849)","Sardinella gibbosa",FALSE,TRUE,TRUE,TRUE,FALSE,3,75.22097505,50.692778,24906262.6,100,TRUE,TRUE,TRUE,TRUE,"Sardinella gibbosa",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1849,22,"ChordataActinopterygii","2"
"71","Scomberomorus commerson","Chordata","Actinopterygii","Perciformes","Scombridae","Scomberomorus","","commerson",NA,"accepted","","(Lacepède, 1800)","Scomberomorus commerson",FALSE,TRUE,TRUE,TRUE,FALSE,3,148.1668324,68.053896,88338023.45,100,TRUE,FALSE,FALSE,TRUE,"Scomberomorus commerson",TRUE,TRUE,"nuc&mito",TRUE,FALSE,1800,18,"ChordataActinopterygii","5"
