Type,Name,Trop,NTemp,NPol,STemp,SPol,
species,Menippe mercenaria,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Metanephrops thomsoni,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Munida notata,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Munida tiresias,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Munidopsis verrucosus,FALSE,TRUE,FALSE,TRUE,FALSE,
species,Mysis relicta,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Neomysis americana,FALSE,TRUE,FALSE,TRUE,FALSE,
species,Neosarmatium meinerti,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Palaemon elegans,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Panulirus argus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Paramphithoe hystrix,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Perisesarma guttatum,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Phycomenes zostericola,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Spirontocaris spinus,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Upogebia Africana,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Macroscapha inaequata,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Macroscapha opaca,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Macroscapha turbida,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Achelia assimilis,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Pallenopsis patagonica,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Pollicipes pollicipes,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Alcyonidium gelatinosum,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Cupuladria biporosa,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Parasagitta setosa,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Acanthemblemaria crockeri,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Acanthochromis polyacanthus,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Agonostomus monticola,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Atherina boyeri,FALSE,TRUE,FALSE,FALSE,TRUE,
species,Careproctus rastrinus,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Clinus superciliosus,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Girella nigricans,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Gymnoscopelus bolini,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Macrodon ancylodon,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Ophthalmolycus amberensis,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Parapercis lutevittata,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Sebastes marinus,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Sebastes mentella,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Sebastes miniatus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Sebastes mystinus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Sillago analis,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Starksia atlantica,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Starksia lepicoelia,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Symphurus thermophilus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Trimma benjamini,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Trimma milta,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Trimma taylori,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Pyura stolonifera,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Rhinobatos productus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Rhizoprionodon terraenovae,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Sotalia,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Aipysurus mosaicus,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Enhydrina schistosa,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Eunicea flexuosa,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Montipora digitata,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Phymactis papillosa,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Plexaura flexuosa,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Porites evermanni,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Coryne pusilla,FALSE,TRUE,FALSE,TRUE,FALSE,
species,Sertularella fusiformis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Sertularia distans,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Aurelia labiata,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Luidia quinaria,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Tosia australis,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Phanogenia gracilis,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Promachocrinus kerguelensis,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Bohadschia marmorata,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Thyonella gemmata,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Acrocnida brachiata,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Ophioderma longicauda,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Ophionotus victoriae,FALSE,FALSE,FALSE,TRUE,TRUE,
species,Ophiothrix aristulata,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Atrina rigida,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Brachidontes exustus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Lasaea australis,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Macoma balthica,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Mactra corallina,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Neilonella salicensis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Ostrea edulis,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Loliolus beka,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Octopus variabilis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Alcithoe aillaudorum,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Austrocochlea constricta,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Cancellopollia gracilis,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Columbella rustica,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Costasiella ocellifera,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Doto coronata,FALSE,TRUE,FALSE,TRUE,FALSE,
species,Littoraria melanostoma,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Littorina scutulata,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Lottia digitalis,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Lottia digitalis,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Melampus bidentatus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Nassarius livescens,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Pachydermia laevis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Patella granularis,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Patelloida profunda,TRUE,FALSE,FALSE,TRUE,FALSE,
species,Peltospira operculata,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Pirenella alata,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Propebela turricula,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Spurilla neapolitana,FALSE,TRUE,FALSE,TRUE,FALSE,
species,Trochus conus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Pellioditis marina,FALSE,TRUE,FALSE,TRUE,FALSE,
species,Rhabditis marina,FALSE,TRUE,FALSE,TRUE,FALSE,
species,Rhabditis marina,FALSE,TRUE,FALSE,TRUE,FALSE,
species,Oerstedia dorsalis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Tetrastemma melanocephalum,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Tetrastemma peltatum,FALSE,TRUE,FALSE,TRUE,FALSE,
species,Monocelis lineata,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Clathrina clathrus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Chondrosia reniformis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Cliona viridis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Pachymatisma normani,FALSE,TRUE,TRUE,FALSE,FALSE,
species,Petrosia ficiformis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Suberites diversicolor,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Brachionus plicatilis,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Aspidosiphon parvulus,TRUE,TRUE,FALSE,FALSE,FALSE,
species,Archinome rosacea,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Eurythoe complanata,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Harmothoe imbricata,TRUE,TRUE,TRUE,FALSE,FALSE,
species,Hediste diversicolor,TRUE,TRUE,TRUE,FALSE,FALSE,
species,Lumbrineris fragilis,TRUE,TRUE,TRUE,FALSE,FALSE,
species,Lysidice ninetta,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Myxicola infundibulum,FALSE,TRUE,TRUE,TRUE,FALSE,
species,Nereis acuminata,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Perinereis cultrifera,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Perinereis suluana,TRUE,TRUE,FALSE,TRUE,FALSE,
species,Phyllodoce groenlandica,TRUE,TRUE,TRUE,FALSE,FALSE,
species,Polydora cornuta,TRUE,TRUE,FALSE,TRUE,FALSE,
