Species
Craspedacusta sowerbii
Crassicorophium bonellii
Crassicorophium crassicorne
Crassimarginatella papulifera
Crassostrea rhizophorae
Crassostrea rivularis
Crassostrea sikamea
Crassostrea virginica
Crenidens crenidens
Crepidacantha poissonii
Crepidula fornicata
Crepipatella dilatata
Cristapseudes omercooperi
Crisularia gracilis
Crisularia plumosa
Crisularia serrata
Critomolgus actiniae
Cronius ruber
Cryptocentrus caeruleopunctatus
Cryptonemia hibernica
Cryptonemia lomation
Cryptorchestia cavimana
Cryptosula pallasiana
Crystallogobius linearis
Ctenocalanus citer
Ctenodrilus serratus
Ctenogobius boleosoma
Ctenopharyngodon idella
Cucurbitula cymbium
Cumulospora marina
Cumulospora varia
Cuthona genovae
Cuthona perca
Cutleria multifida
Cyclichthys spilostylus
Cyclopterus lumpus
Cycloscala hyalina
Cylichna villersii
Cylichnina girardi
Cymbaloporetta plana
Cymodoce fuscina
Cymodocea nodosa
Cymothoa indica
Cynoglossus sinusarabici
Cynoscion nebulosus
Cynoscion regalis
Cyprinus carpio
Cystodytes dellechiajei
Cystoseira corniculata
Dactylopterus volitans
Daira perlata
Darcythompsonia fairliensis
Darwinella australiensis
Darwinella gardineri
Dasya baillouviana
Dasya sessilis
Dasysiphonia japonica
Decapterus russelli
Dendostrea frons
Dendostrea sandvichensis
Dendrocoelum romanodanubiale
Dendrodoris fumata
Dendrostrea frons
Dentalium octangulatum
Dentex gibbosus
Derbesia boergesenii
Derbesia marina
Derbesia rhizophora
Desdemona ornata
Desmacella meliorata
Desmarestia ligulata
Desmarestia viridis
Detonula pumila
Deucalion levringii
Devaleraea ramentacea
Dexamine thea
Diadema antillarum
Diadema setosum
Diadumene cincta
Diadumene lineata
Diala semistriata
Diamysis bahirensis
Dichotomaria obtusata
Dicologlossa hexophthalma
Dicroerisma psilonereiella
Dictyota acutiloba
Dictyota cyanoloma
Dictyota dichotoma
Didemnum perlucidum
Didemnum pseudovexillum
Didemnum sp.
Didemnum vexillum
Dikerogammarus haemobaphes
Dikerogammarus villosus
Dikoleps micalii
Dinophysis caudata
Dinophysis islandica
Dinophysis nasuta
Dinophysis odiosa
Dinophysis recurva
Dinophysis sacculus
Dinophysis schilleri
Dinophysis tripos
Diodora funiculata
Diodora ruppellii
Diopatra hupferiana hupferiana
Diopatra hupferiana monroi
Diphasia digitalis
Diplocirrus stopbowitzi
Diplodonta bogii
Diplopsalopsis orbicularis
Diplosoma listerianum
Diplothamnion jolyi
Dipolydora blakei
Dipolydora capensis
Dipolydora quadrilobata
Dipolydora socialis
Dipolydora tentaculata
Discodoris lilacina
Dispio magnus
Dissodinium pseudocalani
Distaplia bermudensis
Distaplia corolla
Distaplia magnilarva
Distephanus speculum f. octonarius
Divalinga arabica
Dodecaceria capensis
Dorippe quadridens
Dorvillea similis
Dosinia erythraea
Doto fluctifraga
Dreissena bugensis
Dreissena polymorpha
Drepanophora birbira
Dugesia tigrina
Dussumieria elopsoides
Dynamena quadridentata
Dysidea avara
Dysidea fragilis
Dyspanopeus sayi
Echinogammarus ischnus
Echinogammarus trichiatus
Ecteinascidia styeloides
Ecteinascidia thurstoni
Ecteinascidia turbinata
Ectocarpus caspicus
Ectocarpus fasciculatus
Ectocarpus siliculosus
Ectopleura crocea
Ectopleura larynx
Edwardsia claparedii
Edwardsiella lineata
Eichhornia crassipes
Elachista sp.
Elasmopus pectenicrus
Elates ransonnettii
Electra pilosa
Electroma vexillum
Elodea canadensis
Elodea nuttallii
Elysia grandifolia
Elysia tomentosa
Elysia viridis
Emiliania huxleyi
Encrasicholina gloria
Endarachne binghamiae
Endeis biseriata
Engina mendicaria
Ensiculus cultellus
Ensis leei
Ensis terranovensis
Eocuma dimorphum
Eocuma rosae
Eocuma sarsii
Epinephelus areolatus
Epinephelus caninus
Epinephelus chlorostigma
Epinephelus coioides
Epinephelus fasciatus
Epinephelus malabaricus
Epitonium vaillanti
Equulites klunzingeri
Equulites popei
Ercolania viridis
Ergalatax contracta
Ergalatax junionae
Ergalatax martensi
Ericthonius didymus
Erinaceusyllis serratosetosa
Eriocheir japonica
Eriocheir sinensis
Eriphia verrucosa
Erugosquilla massavensis
Ervilia scaliola
Erythrocladia irregularis
Erythrotrichia carnea
Escharina vulgaris
Ethmodiscus punctiger
Etrumeus golani
Etrumeus golanii
Eucampia cornuta
Eucheilota menoni
Eucheilota paradoxica
Euchone incolor
Euchone limnicola
Eucidaris tribuloides
Eucrate crenata
Eucyclops roseus
Eudendrium capillare
Eudendrium carneum
Eudendrium merulum
Eudendrium vaginatum
Eudistoma angolanum
Eunaticina papilla
Eunice indica
Eunice tubifex
Euplana gracilis
Euplokamis dunlapae
Euryte longicauda longicauda
Eurytemora americana
Eurytemora carolleeae
Eurytemora pacifica
Eurythoe complanata
Eusarsiella zostericola
Eusyllis kupfferi
Euthymella colzumensis
Euthymonacha polita
Eutintinnus apertus
Eutintinnus hastae
Eutintinnus lususundae
Eutintinnus tubulosus
Evadne anonyx
Evelineus mcintoshii
Fabriciola ghardaqa
Farfantepenaeus aztecus
Fauveliopsis glabra
Favella brevis
Favonigobius melanobranchus
Favorinus ghanensis
Faxonius immunis
Faxonius limosus
Faxonius virilis
Feldmannia globifera
Feldmannia irregularis
Feldmannia lebelii
Feldmannia mitchelliae
Fenestrulina delicia
Fenestrulina malusii
Fenneropenaeus merguiensis
Ferosagitta galerita
Ferrissia californica
Ferrissia fragilis
Fibrocapsa japonica
Ficopomatus enigmaticus
Filellum serpens
Finella pupoides
Fistularia commersonii
Fistularia petimba
Fistulobalanus albicostatus
Flabellina rubrolineata
Forsterygion lapillum
Fucus distichus
Fucus distichus subsp. evanescens
Fucus evanescens
Fucus serratus
Fucus spiralis
Fulvia (Fulvia) australis
Fulvia (Fulvia) fragilis
Fulvia australis
Fulvia fragilis
Fundulus heteroclitus
Fusinus rostratus
Fusinus verrucosus
Gafrarium pectinatum
Gafrarium savignyi
Galaxaura rugosa
Gambusia affinis
Gambusia holbrooki
Gammaropsis togoensis
Gammarus tigrinus
Gammogobius steinitzi
Ganonema farinosum
Gari pallida
Garveia franciscana
Gayliella fimbriata
Gayliella flaccida
Gelidiella nigrescens
Gelidiella ramellosa
Gelidiocolax christianae
Gelidium corneum
Gelidium pulchellum
Gelidium pusillum
Gelidium spathulatum
Gelidium vagum
Gibborissoa virgata
Gibbula adansoni
Gibbula adriatica
Gibbula albida
Gibbula ardens
Gibbula cineraria
Glabropilumnus laevis
Glaucostegus halavi
Gloniella clavatispora
Glycera capitata
Glycera dayi
Glycinde bonhourei
Glycymeris arabica
Glycymeris glycymeris
Glyphidohaptor plectocirra
Gmelinoides fasciatus
Gnatholepis thompsoni
Gobiosoma bosc
Gobius couchi
Gobius cruentatus
Gobius xanthocephalus
Godiva quadricolor
Goneplax rhomboides
Goniadella gracilis
Goniobranchus annulatus
Goniobranchus obsoletus
Gonioinfradens giardi
Gonioinfradens paucidentatus
Gonionemus vertens
Goniotrichopsis sublittoralis
Gracilaria armata
Gracilaria chorda
Gracilaria gracilis
Gracilaria multipartita
Gracilaria vermiculophylla
Gracilipurpura rostrata
Grallatoria reptans
Grandidierella bonnieroides
Grandidierella japonica
Grapsus granulosus
Grateloupia asiatica
Grateloupia doryphora
Grateloupia imbricata
Grateloupia lanceolata
Grateloupia luxurians
Grateloupia minima
Grateloupia patens
Grateloupia subpectinata
Grateloupia turuturu
Grateloupia yinggehaiensis
Griffithsia corallinoides
Gymnodinium aureolum
Gymnodinium catenatum
Gymnodinium fuscum
Gymnodinium impudicum
Gymnodinium microreticulatum
Gymnodinium nanum
Gymnodinium nolleri
Gymnodinium pulchrum
Gymnodinium radiatum
Gymnodinium stellatum
Gymnodinium uberrimum
Gymnogongrus crenulatus
Gymnomuraena zebra
Gymnophycus hapsiphorus
Gymnothamnion elegans
Gymnothorax reticularis
Gyrodactylus mugili
Gyrodactylus salaris
Gyrodactylus zhukovi
Gyrodinium cochlea
Gyrodinium corallinum
Gyrodinium flagellare
Gyrodinium impudicum
Gyrodinium instriatum
Gyrodinium varians
Halecium delicatulum
Halgerda willeyi
Halichondria panicea
Haliclona (Haliclona) simulans
Haliclona (Halicoclona) vansoesti
Haliclona (Reniera) cinerea
Haliclona (Rhizoniera) rosea
Haliclona Haliclona) urceolus
Haliclona indistincta
Haliclona xena
Haliclystus salpinx
Haliclystus tenuis
Haligena elaterophora
Halimeda incrassata
Halimede tyche
Haliotis discus
Haliotis fulgens
Haliotis gigantea
Haliotis pustulata
Haliotis rufescens
Haliotis tuberculata
Halisarca dujardinii
Haloa japonica
Halophila decipiens
Halophila stipulacea
Halosarpheia phragmiticola
Halosiphon tomentosus
Halothrix lumbricalis
Haminella solitaria
Haminoea solitaria
Haplosporidium armoricanum
Haplosporidium nelsoni
Hediste diversicolor
Heleobia charruana
Hemigrapsus penicillatus
Hemigrapsus sanguineus
Hemigrapsus takanoi
Hemiliostraca clandestina
Hemimysis anomala
Hemiramphus far
Heniochus acuminatus
Heniochus intermedius
Herbstia nitida
Herdmania momus
Herklotsichthys punctatus
Herposiphonia parca
Herrmannella duggani
Hesionides arenaria
Hesionura serrata
Hesperibalanus fallax
Heterolaophonte hamondi
Heterosaccus dollfusi
Heterosigma akashiwo
Heterosigma carterae
Heterostegina depressa
Heterostigma sp.
Hexaplex trunculus
Hiatella arctica
Hildenbrandia crouaniorum
Hildenbrandia occidentalis
Hildenbrandia rubra
Hillea fusiformis
Himantura uarnak
Hincksia granulosa
Hincksia ovata
Hincksia sandriana
Hinemoa cylindrica
Hippocampus fuscus
Hippocampus kuda
Hippopodina iririkiensis
Hippothoa divaricata
Hobaniella longicruris
Holacanthus ciliaris
Holocentrus adscensionis
Homarus americanus
Huso huso
Hyastenus hilgendorfi
Hyboscolex longiseta
Hydroides brachyacantha
Hydroides dianthus
Hydroides dirampha
Hydroides elegans
Hydroides ezoensis
Hydroides heterocera
Hydroides heterocerus
Hydroides homoceros
Hydroides minax
Hydroides norvegica
Hydroides operculata
Hydroides operculatus
Hymeniacidon perlevis
Hymeniacidon sinapium
Hyotissa hyotis
Hypania invalida
Hypanis glabra
Hypereteone heteropoda
Hypereteone lighti
Hypleurochilus bermudensis
Hypnea anastomosans
Hypnea cervicornis
Hypnea cornuta
Hypnea corona
Hypnea flagelliformis
Hypnea flexicaulis
Hypnea musciformis
Hypnea spinella
Hypnea valentiae
Hypoglossum caloglossoides
Hypophthalmichthys molitrix
Hypophthalmichthys nobilis
Hyporhamphus affinis
Hypselodoris infucata
Hysterolecitha sigani
Ianiropsis serricaudis
Ictalurus punctatus
Ictiobus bubalus
Ictiobus cyprinellus
Idotea metallica
Idyella pallidula
Imogine necopinata
Incisocalliope aestuarius
Indothais lacera
Indothais sacellum
Infundibulops erythraeus
Iniistius pavo
Iolaea neofelixoides
Iphigenella shablensis
Iphione muricata
Iridaea sp
Isanda hemprichi
Isochrysis spp.
Isognomon ephippium
Isognomon legumen
Isognomon radiatus
Isolda pulchella
Istiblennius meleagris
Ixa monodi
Jaera (Jaera) istri
Jaera sarsi
Jania longifurca
Janolus hyalinus
Jassa marmorata
Jassa slatteryi
Jasus lalandii
Jaydia queketti
Jaydia smithi
Jellyella tuberculata
Joculator problematicus
Kaloplocamus ramosus
Kapraunia schneideri
Karenia brevisulcata
Karenia mikimotoi
Karenia papilionacea
Karenia umbella
Karlodinium decipiens
Karlodinium veneficum
Kirchenpaueria halecioides
Koinostylochus ostreophagus
Kuckuckia spinosa
Kyphosus sectatrix
Labidocera pavo
Labyrinthula zosterae
