"","i","cs_present","size","phylum"
"12420","Jaxea","FALSE","2","Arthropoda"
"12421","Jaydia","FALSE","18","Chordata"
"12422","Jayella","FALSE","2","Mollusca"
"12423","Jeanbouillonia","FALSE","1","Cnidaria"
"12424","Jeanella","FALSE","1","Arthropoda"
"12425","Jeboehlkia","FALSE","1","Chordata"
"12426","Jebramella","FALSE","1","Bryozoa"
"12427","Jeddo","FALSE","1","Arthropoda"
"12428","Jeffreysina","FALSE","1","Mollusca"
"12429","Jeffreysomya","FALSE","1","Mollusca"
"12430","Jehlius","FALSE","1","Arthropoda"
"12431","Jejulaophonte","FALSE","1","Arthropoda"
"12432","Jellyella","FALSE","4","Bryozoa"
"12433","Jengalpheops","FALSE","1","Arthropoda"
"12434","Jenkina","FALSE","3","Porifera"
"12435","Jenkinsia","FALSE","4","Chordata"
"12436","Jenneria","FALSE","1","Mollusca"
"12437","Jensenia","FALSE","2","Platyhelminthes"
"12438","Jensia","FALSE","2","Arthropoda"
"12439","Jerbarnia","FALSE","5","Arthropoda"
"12440","Jereicopsis","FALSE","1","Porifera"
"12441","Jerguillicola","FALSE","1","Platyhelminthes"
"12442","Jericho","FALSE","1","Platyhelminthes"
"12443","Jerildaria","FALSE","1","Arthropoda"
"12444","Jerrybuccinum","FALSE","3","Mollusca"
"12445","Jessethoa","FALSE","1","Bryozoa"
"12446","Jigurru","FALSE","2","Arthropoda"
"12447","Jimmorinia","FALSE","2","Arthropoda"
"12448","Jindexiangus","FALSE","1","Cnidaria"
"12449","Jitlada","FALSE","8","Mollusca"
"12450","Joania","FALSE","2","Brachiopoda"
"12451","Joannisiella","FALSE","6","Mollusca"
"12452","Jocaste","FALSE","3","Arthropoda"
"12453","Joculator","FALSE","203","Mollusca"
"12454","Jocullianassa","FALSE","5","Arthropoda"
"12455","Jodoella","FALSE","1","Bryozoa"
"12456","Joellina","FALSE","1","Mollusca"
"12457","Joeropsis","FALSE","77","Arthropoda"
"12458","Johannaster","FALSE","1","Echinodermata"
"12459","Johannesia","FALSE","1","Porifera"
"12460","Johanssonia","FALSE","4","Annelida"
"12461","Johngarthia","FALSE","5","Arthropoda"
"12462","Johnius","FALSE","32","Chordata"
"12463","Johnrandallia","FALSE","1","Chordata"
"12464","Johnsonella","FALSE","1","Mollusca"
"12465","Johnsonina","FALSE","1","Chordata"
"12466","Johnstonia","FALSE","3","Annelida"
"12467","Johnstonmawsonia","FALSE","2","Nematoda"
"12468","Jolietina","FALSE","2","Bryozoa"
"12469","Jolonica","FALSE","4","Brachiopoda"
"12470","Jolya","FALSE","4","Mollusca"
"12471","Jonas","FALSE","7","Arthropoda"
"12472","Jonesia","FALSE","6","Arthropoda"
"12473","Jonesiella","FALSE","2","Arthropoda"
"12474","Jordania","FALSE","1","Chordata"
"12475","Jordaniella","FALSE","2","Mollusca"
"12476","Jorgenia","FALSE","4","Mollusca"
"12477","Jorunna","FALSE","21","Mollusca"
"12478","Joryma","FALSE","6","Arthropoda"
"12479","Josephella","FALSE","1","Annelida"
"12480","Joturus","FALSE","1","Chordata"
"12481","Jouannetia","FALSE","9","Mollusca"
"12482","Joubinella","FALSE","6","Arthropoda"
"12483","Joubiniopsis","FALSE","1","Mollusca"
"12484","Joubiniteuthis","FALSE","1","Mollusca"
"12485","Jousseaumiella","FALSE","3","Mollusca"
"12486","Joyeuxilepis","FALSE","4","Platyhelminthes"
"12487","Juanettia","FALSE","2","Arthropoda"
"12488","Jubanyella","FALSE","1","Cnidaria"
"12489","Jubella","FALSE","1","Bryozoa"
"12490","Jugamphicteis","FALSE","3","Annelida"
"12491","Jugaria","FALSE","4","Annelida"
"12492","Jugatovaria","FALSE","2","Platyhelminthes"
"12493","Jugescharellina","FALSE","1","Bryozoa"
"12494","Jugosocythereis","FALSE","5","Arthropoda"
"12495","Jujubinus","FALSE","38","Mollusca"
"12496","Jukesena","FALSE","1","Mollusca"
"12497","Julavis","FALSE","2","Porifera"
"12498","Juletta","FALSE","2","Arthropoda"
"12499","Julia","FALSE","7","Mollusca"
"12500","Juliacorbula","FALSE","2","Mollusca"
"12501","Julianca","FALSE","1","Bryozoa"
"12502","Jullienipora","FALSE","1","Bryozoa"
"12503","Jullienula","FALSE","3","Bryozoa"
"12504","Julmarichardia","FALSE","6","Arthropoda"
"12505","Junceella","FALSE","7","Cnidaria"
"12506","Junctichela","FALSE","5","Arthropoda"
"12507","Junerossia","FALSE","1","Bryozoa"
"12508","Jupiteria","FALSE","7","Mollusca"
"12509","Juryoecia","FALSE","2","Arthropoda"
"12510","Jusheyhoea","FALSE","3","Arthropoda"
"12511","Jusheyus","FALSE","1","Arthropoda"
"12512","Justitia","FALSE","1","Arthropoda"
"12513","Juvenichiton","FALSE","2","Mollusca"
"12514","Juxtafabia","FALSE","1","Arthropoda"
"12515","Juxtamusium","FALSE","2","Mollusca"
"12516","Juxtandrianellus","FALSE","1","Arthropoda"
"12517","Juxtaramia","FALSE","1","Arthropoda"
"12518","Juxtastenopus","FALSE","1","Arthropoda"
"12519","Juxtaxanthias","FALSE","3","Arthropoda"
"12520","Kabataella","FALSE","1","Arthropoda"
"12521","Kabatahoia","FALSE","1","Arthropoda"
"12522","Kabataia","FALSE","1","Arthropoda"
"12523","Kabatazus","FALSE","1","Arthropoda"
"12524","Kabeiro","FALSE","4","Mollusca"
"12525","Kabutos","FALSE","1","Arthropoda"
"12526","Kadosactis","FALSE","5","Cnidaria"
"12527","Kahawaia","FALSE","1","Platyhelminthes"
"12528","Kaikoja","FALSE","2","Chordata"
"12529","Kainommatomysis","FALSE","3","Arthropoda"
"12530","Kainonereis","FALSE","5","Annelida"
"12531","Kaiparapelta","FALSE","1","Mollusca"
"12532","Kaiparathina","FALSE","5","Mollusca"
"12533","Kairos","FALSE","1","Arthropoda"
"12534","Kaisquilla","FALSE","1","Arthropoda"
"12535","Kaitalugia","FALSE","2","Platyhelminthes"
"12536","Kaitoa","FALSE","1","Mollusca"
"12537","Kajikia","FALSE","2","Chordata"
"12538","Kakanui","FALSE","2","Arthropoda"
"12539","Kakanuiella","FALSE","1","Brachiopoda"
"12540","Kali","FALSE","7","Chordata"
"12541","Kaliapsis","FALSE","3","Porifera"
"12542","Kalinga","FALSE","1","Mollusca"
"12543","Kalliapseudes","FALSE","18","Arthropoda"
"12544","Kalliphobe","FALSE","1","Cnidaria"
"12545","Kalloleptochelia","FALSE","4","Arthropoda"
"12546","Kaloketos","FALSE","1","Arthropoda"
"12547","Kalolophus","FALSE","2","Mollusca"
"12548","Kaloplocamus","FALSE","9","Mollusca"
"12549","Kalyla","FALSE","1","Platyhelminthes"
"12550","Kalyptatherina","FALSE","1","Chordata"
"12551","Kamaka","FALSE","8","Arthropoda"
"12552","Kameginemertes","FALSE","1","Nemertea"
"12553","Kamehatylus","FALSE","4","Arthropoda"
"12554","Kamekia","FALSE","1","Mollusca"
"12555","Kamoharaia","FALSE","1","Chordata"
"12556","Kamptopleustes","FALSE","3","Arthropoda"
"12557","Kamptosoma","FALSE","2","Echinodermata"
"12558","Kampylaster","FALSE","1","Echinodermata"
"12559","Kanakaster","FALSE","6","Echinodermata"
"12560","Kanakythyris","FALSE","1","Brachiopoda"
"12561","Kanaloa","FALSE","1","Arthropoda"
"12562","Kanamarua","FALSE","10","Mollusca"
"12563","Kanekonia","FALSE","3","Chordata"
"12564","Kanekotrochus","FALSE","3","Mollusca"
"12565","Kaneoha","FALSE","1","Mollusca"
"12566","Kangarina","FALSE","16","Arthropoda"
"12567","Kanikipa","FALSE","1","Arthropoda"
"12568","Kankelibranchus","FALSE","2","Mollusca"
"12569","Kannaphallus","FALSE","3","Platyhelminthes"
"12570","Kanoia","FALSE","2","Mollusca"
"12571","Kantharella","FALSE","1","Dicyemida"
"12572","Kantiella","FALSE","2","Cnidaria"
"12573","Kapalana","FALSE","8","Arthropoda"
"12574","Karalepis","FALSE","1","Chordata"
"12575","Karanges","FALSE","2","Arthropoda"
"12576","Kareius","FALSE","1","Chordata"
"12577","Kareloecia","FALSE","2","Arthropoda"
"12578","Karenella","FALSE","1","Arthropoda"
"12579","Karkinochromadora","FALSE","1","Nematoda"
"12580","Karkinorhynchides","FALSE","1","Platyhelminthes"
"12581","Karkinorhynchus","FALSE","4","Platyhelminthes"
"12582","Karlingia","FALSE","1","Platyhelminthes"
"12583","Karllangia","FALSE","4","Arthropoda"
"12584","Karnekampia","FALSE","1","Mollusca"
"12585","Karroonsyllis","FALSE","1","Annelida"
"12586","Karstarma","FALSE","13","Arthropoda"
"12587","Karsten","FALSE","1","Chordata"
"12588","Karukerina","FALSE","1","Mollusca"
"12589","Karumballichirus","FALSE","2","Arthropoda"
"12590","Karvolicola","FALSE","1","Platyhelminthes"
"12591","Karyakartia","FALSE","2","Platyhelminthes"
"12592","Kasagia","FALSE","2","Arthropoda"
"12593","Kasatkia","FALSE","2","Chordata"
"12594","Kaseilla","FALSE","1","Mollusca"
"12595","Kasim","FALSE","3","Arthropoda"
"12596","Kassandrina","FALSE","1","Echinodermata"
"12597","Kata","FALSE","4","Platyhelminthes"
"12598","Katadesmia","FALSE","7","Mollusca"
"12599","Katamysis","FALSE","1","Arthropoda"
"12600","Katanthessius","FALSE","2","Arthropoda"
"12601","Kataplana","FALSE","4","Platyhelminthes"
"12602","Katelysia","FALSE","3","Mollusca"
"12603","Katerythrops","FALSE","4","Arthropoda"
"12604","Kathala","FALSE","1","Chordata"
"12605","Katharina","FALSE","1","Mollusca"
"12606","Kathetostoma","FALSE","8","Chordata"
"12607","Kathlania","FALSE","1","Nematoda"
"12608","Katianira","FALSE","5","Arthropoda"
"12609","Katocalliope","FALSE","2","Arthropoda"
"12610","Katsuwonus","FALSE","1","Chordata"
"12611","Kauluzoanthus","FALSE","1","Cnidaria"
"12612","Kaupichthys","FALSE","6","Chordata"
"12613","Kaupus","FALSE","1","Chordata"
"12614","Kaviengella","FALSE","1","Arthropoda"
"12615","Kawanolus","FALSE","1","Arthropoda"
"12616","Kebira","FALSE","2","Porifera"
"12617","Keenaea","FALSE","2","Mollusca"
"12618","Keenocardium","FALSE","3","Mollusca"
"12619","Keesingia","FALSE","1","Cnidaria"
"12620","Keijcyoidea","FALSE","13","Arthropoda"
"12621","Keijella","FALSE","10","Arthropoda"
"12622","Keijia","FALSE","9","Arthropoda"
"12623","Kejdonia","FALSE","1","Mollusca"
"12624","Keldyshicaris","FALSE","1","Arthropoda"
"12625","Keletistes","FALSE","5","Mollusca"
"12626","Kelleria","FALSE","17","Arthropoda"
"12627","Kelletia","FALSE","2","Mollusca"
"12628","Kellia","FALSE","30","Mollusca"
"12629","Kelliella","FALSE","8","Mollusca"
"12630","Kelliola","FALSE","1","Mollusca"
"12631","Kelliopsis","FALSE","10","Mollusca"
"12632","Kelloggella","FALSE","6","Chordata"
"12633","Kempella","FALSE","2","Arthropoda"
"12634","Kempfidea","FALSE","5","Arthropoda"
"12635","Kemphyra","FALSE","1","Arthropoda"
"12636","Kempometra","FALSE","1","Echinodermata"
"12637","Kendrickiana","FALSE","1","Mollusca"
"12638","Kenella","FALSE","2","Bryozoa"
"12639","Kenmackenzia","FALSE","1","Platyhelminthes"
"12640","Kennethia","FALSE","1","Arthropoda"
"12641","Kenoaplousina","FALSE","3","Bryozoa"
"12642","Kenrickaster","FALSE","1","Echinodermata"
"12643","Kensakia","FALSE","6","Arthropoda"
"12644","Kentmoseria","FALSE","1","Cnidaria"
"12645","Kentrocapros","FALSE","4","Chordata"
"12646","Kenyaconger","FALSE","1","Chordata"
"12647","Kenyanema","FALSE","1","Nematoda"
"12648","Kenyonia","FALSE","1","Mollusca"
"12649","Kephyes","FALSE","2","Cnidaria"
"12650","Kepon","FALSE","3","Arthropoda"
"12651","Keppelius","FALSE","1","Arthropoda"
"12652","Keraia","FALSE","4","Arthropoda"
"12653","Keralanema","FALSE","1","Nematoda"
"12654","Keralina","FALSE","2","Platyhelminthes"
"12655","Keratella","FALSE","1","Rotifera"
"12656","Keratoisis","FALSE","23","Cnidaria"
"12657","Keratonema","FALSE","1","Nematoda"
"12658","Kerguelenatica","FALSE","1","Mollusca"
"12659","Kerguelenella","FALSE","1","Mollusca"
"12660","Kerguelenia","FALSE","20","Arthropoda"
"12661","Kerguelenica","FALSE","2","Arthropoda"
"12662","Kerilia","FALSE","1","Chordata"
"12663","Kermabrissoides","FALSE","1","Echinodermata"
"12664","Kermadecazoon","FALSE","1","Bryozoa"
"12665","Kermadecella","FALSE","1","Annelida"
"12666","Kermia","FALSE","44","Mollusca"
"12667","Kermitaster","FALSE","1","Echinodermata"
"12668","Keroeides","FALSE","6","Cnidaria"
"12669","Kerryclarkella","FALSE","1","Mollusca"
"12670","Kertomichthys","FALSE","1","Chordata"
"12671","Keska","FALSE","1","Arthropoda"
"12672","Kestratherina","FALSE","2","Chordata"
"12673","Ketamia","FALSE","4","Arthropoda"
"12674","Ketengus","FALSE","1","Chordata"
"12675","Ketosia","FALSE","2","Mollusca"
"12676","Ketosoma","FALSE","5","Arthropoda"
"12677","Kettnerites","FALSE","1","Annelida"
"12678","Keuphylia","FALSE","1","Arthropoda"
"12679","Keysercythere","FALSE","1","Arthropoda"
"12680","Khataiella","FALSE","3","Arthropoda"
"12681","Kidderia","FALSE","13","Mollusca"
"12682","Kiictenocheloides","FALSE","1","Arthropoda"
"12683","Kiklonana","FALSE","1","Arthropoda"
"12684","Kilburnia","FALSE","3","Mollusca"
"12685","Kimberleya","FALSE","1","Annelida"
"12686","Kimbla","FALSE","2","Arthropoda"
"12687","Kimblaeus","FALSE","1","Chordata"
"12688","Kimcheres","FALSE","1","Arthropoda"
"12689","Kimocestus","FALSE","1","Platyhelminthes"
"12690","Kinberginereis","FALSE","1","Annelida"
"12691","Kinbergonuphis","FALSE","40","Annelida"
"12692","Kinetocodium","FALSE","1","Cnidaria"
"12693","Kinetoskias","FALSE","11","Bryozoa"
"12694","Kinkelinella","FALSE","1","Arthropoda"
"12695","Kinorhynchus","FALSE","19","Kinorhyncha"
"12696","Kioloaria","FALSE","13","Arthropoda"
"12697","Kionocidaris","FALSE","1","Echinodermata"
"12698","Kionotrochus","FALSE","1","Cnidaria"
"12699","Kirchenpaueria","FALSE","13","Cnidaria"
"12700","Kirgisella","FALSE","1","Platyhelminthes"
"12701","Kiricephalus","FALSE","1","Arthropoda"
"12702","Kirkegaardia","FALSE","42","Annelida"
"12703","Kirkpatrickia","FALSE","4","Porifera"
"12704","Kirnasia","FALSE","2","Arthropoda"
"12705","Kirnesius","FALSE","1","Arthropoda"
"12706","Kirsteueria","FALSE","1","Nemertea"
"12707","Kirsteueriella","FALSE","1","Nemertea"
"12708","Kishinouyepenaeopsis","FALSE","4","Arthropoda"
"12709","Kiwa","FALSE","4","Arthropoda"
"12710","Kiyohimea","FALSE","2","Ctenophora"
"12711","Kladapheles","FALSE","1","Bryozoa"
"12712","Klebang","FALSE","1","Arthropoda"
"12713","Kleinella","FALSE","6","Mollusca"
"12714","Klieonychocamptoides","FALSE","4","Arthropoda"
"12715","Klieonychocamptus","FALSE","1","Arthropoda"
"12716","Klieosoma","FALSE","3","Arthropoda"
"12717","Kliopsyllus","FALSE","5","Arthropoda"
"12718","Klugea","FALSE","10","Nematoda"
"12719","Klugeflustra","FALSE","7","Bryozoa"
"12720","Klugella","FALSE","3","Bryozoa"
"12721","Klugenotus","FALSE","2","Bryozoa"
"12722","Klugerella","FALSE","9","Bryozoa"
"12723","Klyxum","FALSE","16","Cnidaria"
"12724","Knefastia","FALSE","10","Mollusca"
"12725","Knightaster","FALSE","1","Echinodermata"
"12726","Knightjonesia","FALSE","1","Annelida"
"12727","Knipowitschia","FALSE","2","Chordata"
"12728","Knopia","FALSE","1","Cnidaria"
"12729","Knoutsodonta","FALSE","16","Mollusca"
"12730","Knysmetopa","FALSE","1","Arthropoda"
"12731","Kobayashiina","FALSE","2","Arthropoda"
"12732","Kochichthys","FALSE","1","Chordata"
"12733","Kochlorine","FALSE","7","Arthropoda"
"12734","Kochlorinopsis","FALSE","1","Arthropoda"
"12735","Kodioides","FALSE","2","Cnidaria"
"12736","Koehleraster","FALSE","1","Echinodermata"
"12737","Koehlermetra","FALSE","1","Echinodermata"
"12738","Koellikeria","FALSE","4","Platyhelminthes"
"12739","Koellikerina","FALSE","10","Cnidaria"
"12740","Koellikerioides","FALSE","6","Platyhelminthes"
"12741","Kogia","FALSE","2","Chordata"
"12742","Kohnia","FALSE","1","Nemertea"
"12743","Koiea","FALSE","2","Platyhelminthes"
"12744","Koilofera","FALSE","1","Mollusca"
"12745","Koinocystella","FALSE","1","Platyhelminthes"
"12746","Koinocystis","FALSE","1","Platyhelminthes"
"12747","Koleolepas","FALSE","3","Arthropoda"
"12748","Kolga","FALSE","3","Echinodermata"
"12749","Kollerua","FALSE","5","Arthropoda"
"12750","Kolocheres","FALSE","1","Arthropoda"
"12751","Koloonella","FALSE","18","Mollusca"
"12752","Kolostoneura","FALSE","2","Echinodermata"
"12753","Kolourione","FALSE","1","Arthropoda"
"12754","Koltunia","FALSE","1","Porifera"
"12755","Koltunicladia","FALSE","1","Porifera"
"12756","Komaitrochus","FALSE","1","Mollusca"
"12757","Kombia","FALSE","5","Arthropoda"
"12758","Konarus","FALSE","3","Arthropoda"
"12759","Konatopus","FALSE","4","Arthropoda"
"12760","Kondakovia","FALSE","2","Mollusca"
"12761","Kondoleus","FALSE","1","Arthropoda"
"12762","Kongsrudia","FALSE","5","Mollusca"
"12763","Konosirus","FALSE","1","Chordata"
"12764","Kontiloleucon","FALSE","1","Arthropoda"
"12765","Kophobelemnon","FALSE","9","Cnidaria"
"12766","Kopua","FALSE","3","Chordata"
"12767","Koreamya","FALSE","3","Mollusca"
"12768","Koremasphaera","FALSE","1","Arthropoda"
"12769","Koremaster","FALSE","1","Echinodermata"
"12770","Korethraster","FALSE","1","Echinodermata"
"12771","Koridotea","FALSE","1","Arthropoda"
"12772","Kornickeria","FALSE","5","Arthropoda"
"12773","Koroga","FALSE","1","Arthropoda"
"12774","Koronacantha","FALSE","2","Acanthocephala"
"12775","Korotkevitschia","FALSE","1","Nemertea"
"12776","Korsaranthus","FALSE","1","Cnidaria"
"12777","Koseiria","FALSE","7","Platyhelminthes"
"12778","Kosswigonema","FALSE","1","Nematoda"
"12779","Kotla","FALSE","1","Arthropoda"
"12780","Kotoracythere","FALSE","5","Arthropoda"
"12781","Kotorella","FALSE","1","Platyhelminthes"
"12782","Kotorelliella","FALSE","1","Platyhelminthes"
"12783","Koumansetta","FALSE","3","Chordata"
"12784","Kowalevskia","FALSE","2","Chordata"
"12785","Kowsalyabothrium","FALSE","2","Platyhelminthes"
"12786","Krachia","FALSE","5","Mollusca"
"12787","Krachiopsis","FALSE","1","Mollusca"
"12788","Kraemeria","FALSE","7","Chordata"
"12789","Krampella","FALSE","2","Cnidaria"
"12790","Krampia","FALSE","3","Nematoda"
"12791","Krangalangia","FALSE","3","Arthropoda"
"12792","Kranosphaera","FALSE","1","Arthropoda"
"12793","Kraussia","FALSE","1","Arthropoda"
"12794","Kraussillichirus","FALSE","1","Arthropoda"
"12795","Kraussina","FALSE","6","Brachiopoda"
"12796","Krefftichthys","FALSE","1","Chordata"
"12797","Kreisoncholaimus","FALSE","1","Nematoda"
"12798","Kriboetrema","FALSE","2","Platyhelminthes"
"12799","Kristensenia","FALSE","2","Arthropoda"
"12800","Krithe","FALSE","46","Arthropoda"
"12801","Kroemmelbeinella","FALSE","2","Arthropoda"
"12802","Kroeyerina","FALSE","9","Arthropoda"
"12803","Krohnia","FALSE","5","Annelida"
"12804","Krohnitta","FALSE","3","Chaetognatha"
"12805","Krohnittella","FALSE","2","Chaetognatha"
"12806","Kronborgia","FALSE","5","Platyhelminthes"
"12807","Kroppcarcinus","FALSE","1","Arthropoda"
"12808","Kroyera","FALSE","1","Arthropoda"
"12809","Kroyeria","FALSE","15","Arthropoda"
"12810","Kruppomenia","FALSE","13","Mollusca"
"12811","Krusensterniella","FALSE","4","Chordata"
"12812","Krylovina","FALSE","1","Mollusca"
"12813","Kryptodasys","FALSE","7","Gastrotricha"
"12814","Kryptophanaron","FALSE","1","Chordata"
"12815","Kryptos","FALSE","2","Mollusca"
"12816","Ktariella","FALSE","1","Platyhelminthes"
"12817","Ktenosquamisis","FALSE","1","Cnidaria"
"12818","Kuarrhaphis","FALSE","1","Porifera"
"12819","Kubaninella","FALSE","1","Bryozoa"
"12820","Kudinopasternakia","FALSE","10","Arthropoda"
"12821","Kudoa","FALSE","96","Cnidaria"
"12822","Kuhlia","FALSE","8","Chordata"
"12823","Kuhnia","FALSE","11","Platyhelminthes"
"12824","Kuiterichthys","FALSE","2","Chordata"
"12825","Kukenthalia","FALSE","1","Chordata"
"12826","Kukumia","FALSE","1","Nemertea"
"12827","Kulamanamana","FALSE","1","Cnidaria"
"12828","Kulgaphoxus","FALSE","3","Arthropoda"
"12829","Kulikovia","FALSE","4","Nemertea"
"12830","Kuma","FALSE","8","Xenacoelomorpha"
"12831","Kumba","FALSE","8","Chordata"
"12832","Kume","FALSE","1","Arthropoda"
"12833","Kumepagurus","FALSE","1","Arthropoda"
"12834","Kumococius","FALSE","1","Chordata"
"12835","Kumonga","FALSE","1","Arthropoda"
"12836","Kuna","FALSE","1","Arthropoda"
"12837","Kunihulsea","FALSE","2","Arthropoda"
"12838","Kunopia","FALSE","1","Mollusca"
"12839","Kunzia","FALSE","3","Arthropoda"
"12840","Kupeia","FALSE","1","Echinodermata"
"12841","Kupellonura","FALSE","16","Arthropoda"
"12842","Kuphocheira","FALSE","2","Arthropoda"
"12843","Kuphomunna","FALSE","1","Arthropoda"
"12844","Kuphus","FALSE","1","Mollusca"
"12845","Kurchatovus","FALSE","2","Annelida"
"12846","Kuria","FALSE","1","Arthropoda"
"12847","Kurilabyssia","FALSE","2","Mollusca"
"12848","Kurilohadalia","FALSE","2","Mollusca"
"12849","Kurilosignum","FALSE","1","Arthropoda"
"12850","Kuritus","FALSE","1","Arthropoda"
"12851","Kurodacirsa","FALSE","2","Mollusca"
"12852","Kurodadrillia","FALSE","1","Mollusca"
"12853","Kurodavolva","FALSE","1","Mollusca"
"12854","Kuronezumia","FALSE","6","Chordata"
"12855","Kuroshiodaphne","FALSE","6","Mollusca"
"12856","Kuroshioturris","FALSE","5","Mollusca"
"12857","Kuroshiovolva","FALSE","2","Mollusca"
"12858","Kurtiella","FALSE","32","Mollusca"
"12859","Kurtus","FALSE","1","Chordata"
"12860","Kurtzia","FALSE","6","Mollusca"
"12861","Kurtziella","FALSE","18","Mollusca"
"12862","Kurtzina","FALSE","3","Mollusca"
"12863","Kushia","FALSE","4","Arthropoda"
"12864","Kussakinella","FALSE","1","Arthropoda"
"12865","Kuwaita","FALSE","5","Annelida"
"12866","Kylix","FALSE","11","Mollusca"
"12867","Kyllinia","FALSE","1","Mollusca"
"12868","Kymella","FALSE","2","Bryozoa"
"12869","Kymocarens","FALSE","3","Platyhelminthes"
"12870","Kynaria","FALSE","1","Mollusca"
"12871","Kyonemichthys","FALSE","1","Chordata"
"12872","Kyopoda","FALSE","1","Cnidaria"
"12873","Kyphocalanus","FALSE","1","Arthropoda"
"12874","Kyphocythere","FALSE","1","Arthropoda"
"12875","Kyphometopa","FALSE","2","Arthropoda"
"12876","Kyphosus","FALSE","18","Chordata"
"12877","Kyrina","FALSE","6","Mollusca"
"12878","Kyrtoecia","FALSE","1","Arthropoda"
"12879","Kyska","FALSE","1","Arthropoda"
"12880","Kystodelphys","FALSE","1","Arthropoda"
"12881","Kytorhynchella","FALSE","3","Platyhelminthes"
"12882","Kytorhynchus","FALSE","3","Platyhelminthes"
"12883","Labichthys","FALSE","2","Chordata"
"12884","Labicola","FALSE","1","Platyhelminthes"
"12885","Labidiaster","FALSE","2","Echinodermata"
"12886","Labidocera","FALSE","62","Arthropoda"
"12887","Labidochirus","FALSE","2","Arthropoda"
"12888","Labidodemas","FALSE","8","Echinodermata"
"12889","Labidognathia","FALSE","1","Gnathostomulida"
"12890","Labidoherpia","FALSE","1","Mollusca"
"12891","Labidoplax","FALSE","5","Echinodermata"
"12892","Labioleanira","FALSE","3","Annelida"
"12893","Labioporella","FALSE","14","Bryozoa"
"12894","Labiosthenolepis","FALSE","3","Annelida"
"12895","Labiostomella","FALSE","1","Bryozoa"
"12896","Labiostrombus","FALSE","1","Mollusca"
"12897","Labracetabulum","FALSE","2","Platyhelminthes"
"12898","Labracinus","FALSE","4","Chordata"
"12899","Labracoglossa","FALSE","2","Chordata"
"12900","Labraxeudes","FALSE","1","Arthropoda"
"12901","Labrichthys","FALSE","1","Chordata"
"12902","Labrifer","FALSE","4","Platyhelminthes"
"12903","Labriphimedia","FALSE","5","Arthropoda"
"12904","Labrisomus","FALSE","17","Chordata"
"12905","Labroides","FALSE","5","Chordata"
"12906","Labropsis","FALSE","6","Chordata"
"12907","Labrorostratus","FALSE","6","Annelida"
"12908","Labrus","FALSE","4","Chordata"
"12909","Labuanium","FALSE","12","Arthropoda"
"12910","Labyrinthocyathus","FALSE","5","Cnidaria"
"12911","Lacazella","FALSE","4","Brachiopoda"
"12912","Laccadivensia","FALSE","1","Platyhelminthes"
"12913","Lacerna","FALSE","8","Bryozoa"
"12914","Lachneratus","FALSE","1","Chordata"
"12915","Lachnolaimus","FALSE","1","Chordata"
"12916","Lachnopodus","FALSE","6","Arthropoda"
"12917","Laciniorbis","FALSE","2","Mollusca"
"12918","Laciolina","FALSE","6","Mollusca"
"12919","Lacistorhynchus","FALSE","2","Platyhelminthes"
"12920","Lacrimula","FALSE","5","Bryozoa"
"12921","Lactarius","FALSE","1","Chordata"
"12922","Lactiforis","FALSE","2","Mollusca"
"12923","Lactophrys","FALSE","3","Chordata"
"12924","Lactoria","FALSE","4","Chordata"
"12925","Lacuna","FALSE","25","Mollusca"
"12926","Lacunoides","FALSE","2","Mollusca"
"12927","Lacydonia","FALSE","12","Annelida"
"12928","Laddia","FALSE","2","Mollusca"
"12929","Ladomedaeus","FALSE","2","Arthropoda"
"12930","Laemodonta","FALSE","9","Mollusca"
"12931","Laemonema","FALSE","16","Chordata"
"12932","Laeocochlis","FALSE","1","Mollusca"
"12933","Laeonereis","FALSE","4","Annelida"
"12934","Laeops","FALSE","13","Chordata"
"12935","Laeospira","FALSE","8","Annelida"
"12936","Laeta","FALSE","1","Cnidaria"
"12937","Laetifautor","FALSE","5","Mollusca"
"12938","Laetmaster","FALSE","1","Echinodermata"
"12939","Laetmatophilus","FALSE","14","Arthropoda"
"12940","Laetmogone","FALSE","12","Echinodermata"
"12941","Laetmonecticus","FALSE","1","Annelida"
"12942","Laetmonice","FALSE","27","Annelida"
"12943","Laetmoteuthis","FALSE","1","Mollusca"
"12944","Laevicardium","FALSE","13","Mollusca"
"12945","Laevichlamys","FALSE","18","Mollusca"
"12946","Laevicirce","FALSE","2","Mollusca"
"12947","Laevicordia","FALSE","3","Mollusca"
"12948","Laevidentalium","FALSE","15","Mollusca"
"12949","Laeviemarginula","FALSE","1","Mollusca"
"12950","Laevilacunaria","FALSE","3","Mollusca"
"12951","Laevilitorina","FALSE","21","Mollusca"
"12952","Laevinesta","FALSE","1","Mollusca"
"12953","Laeviphitus","FALSE","4","Mollusca"
"12954","Laevipilina","FALSE","5","Mollusca"
"12955","Laevistrombus","FALSE","5","Mollusca"
"12956","Laevityphis","FALSE","4","Mollusca"
"12957","Lafoea","TRUE","11","Cnidaria"
"12958","Lafoeina","FALSE","3","Cnidaria"
"12959","Lafystius","FALSE","4","Arthropoda"
"12960","Laganum","FALSE","9","Echinodermata"
"12961","Lagarozoum","FALSE","2","Bryozoa"
"12962","Lageneschara","FALSE","2","Bryozoa"
"12963","Lagenicella","FALSE","10","Bryozoa"
"12964","Lagenipora","FALSE","11","Bryozoa"
