"","Species","Phylum","Class"
"1","Loligo reynaudii","Mollusca","Cephalopoda"
"2","Mirounga leonina","Chordata","Mammalia"
"3","Aptenodytes patagonicus","Chordata","Aves"
"4","Arctocephalus gazella","Chordata","Mammalia"
"5","Chrysoblephus puniceus","Chordata","Teleostei"
"6","Argyrosomus","Chordata","Teleostei"
"7","Merluccius","Chordata","Teleostei"
"8","Argyrozona argyrozona","Chordata","Teleostei"
"9","Cheimerius nufar","Chordata","Teleostei"
"10","Epinephelus","Chordata","Teleostei"
"11","Thalassarche melanophris","Chordata","Aves"
"12","Diomedea exulans","Chordata","Aves"
"13","Pterogymnus laniarius","Chordata","Teleostei"
"14","Copepoda","Arthropoda","Copepoda"
"15","Thunnus albacares","Chordata","Teleostei"
"16","Fiona","Mollusca","Gastropoda"
"17","Chrysoblephus anglicus","Chordata","Teleostei"
"18","Atractoscion aequidens","Chordata","Teleostei"
"19","Oncaea","Arthropoda","Copepoda"
"20","Sagitta","Chaetognatha","Sagittoidea"
"21","Morus capensis","Chordata","Aves"
"22","Katsuwonus pelamis","Chordata","Teleostei"
"23","Chrysoblephus laticeps","Chordata","Teleostei"
"24","Coryphaena hippurus","Chordata","Teleostei"
"25","Oikopleura","Chordata","Appendicularia"
"26","Eudyptes chrysolophus","Chordata","Aves"
"27","Procellaria aequinoctialis","Chordata","Aves"
"28","Teleostei","Chordata","Teleostei"
"29","Ostracoda","Arthropoda","Ostracoda"
"30","Carcharhinus falciformis","Chordata","Elasmobranchii"
"31","Corycaeus","Arthropoda","Copepoda"
"32","Caretta caretta","Chordata",NA
"33","Sebastes capensis","Chordata","Teleostei"
"34","Chrysoblephus cristiceps","Chordata","Teleostei"
"35","Elagatis bipinnulata","Chordata","Teleostei"
"36","Aptenodytes forsteri","Chordata","Aves"
"37","Phoebetria fusca","Chordata","Aves"
"38","Selachii","Chordata","Elasmobranchii"
"39","Polysteganus praeorbitalis","Chordata","Teleostei"
"40","Thunnus obesus","Chordata","Teleostei"
"41","Polychaeta","Annelida","Polychaeta"
"42","Calanus simillimus","Arthropoda","Copepoda"
"43","Argyrosomus thorpei","Chordata","Teleostei"
"44","Ctenocalanus vanus","Arthropoda","Copepoda"
"45","Canthidermis maculata","Chordata","Teleostei"
"46","Thalassarche chrysostoma","Chordata","Aves"
"47","Acanthocybium solandri","Chordata","Teleostei"
"48","Scomberomorus commerson","Chordata","Teleostei"
"49","Clausocalanus arcuicornis arcuicornis","Arthropoda","Copepoda"
"50","Pachymetopon aeneum","Chordata","Teleostei"
"51","Genypterus capensis","Chordata","Teleostei"
"52","Petrus rupestris","Chordata","Teleostei"
"53","Cymatoceps nasutus","Chordata","Teleostei"
"54","Siphonophorae","Cnidaria","Hydrozoa"
"55","Gastropoda","Mollusca","Gastropoda"
"56","Paracalanus parvus parvus","Arthropoda","Copepoda"
"57","Decapoda","Arthropoda","Malacostraca"
"58","Microsetella rosea","Arthropoda","Copepoda"
"59","Lobotes surinamensis","Chordata","Teleostei"
"60","Chrysoblephus gibbiceps","Chordata","Teleostei"
"61","Phoebetria palpebrata","Chordata","Aves"
"62","Amphipoda","Arthropoda","Malacostraca"
"63","Scomber japonicus","Chordata","Teleostei"
"64","Drepanopus pectinatus","Arthropoda","Copepoda"
"65","Larus dominicanus","Chordata","Aves"
"66","Metridia lucens lucens","Arthropoda","Copepoda"
"67","Oithona similis","Arthropoda","Copepoda"
"68","Decapterus macarellus","Chordata","Teleostei"
"69","Paracalanus aculeatus aculeatus","Arthropoda","Copepoda"
"70","Lethrinus","Chordata","Teleostei"
"71","Sphyraena barracuda","Chordata","Teleostei"
"72","Polysteganus coeruleopunctatus","Chordata","Teleostei"
"73","Euphausia","Arthropoda","Malacostraca"
"74","Onychoprion","Chordata","Aves"
"75","Acrocalanus gibber","Arthropoda","Copepoda"
"76","Salpa","Chordata","Thaliacea"
"77","Chelonia mydas","Chordata",NA
"78","Laridae","Chordata","Aves"
"79","Chelidonichthys capensis","Chordata","Teleostei"
"80","Champsocephalus gunnari","Chordata","Teleostei"
"81","Rhincalanus gigas","Arthropoda","Copepoda"
"82","Calocalanus","Arthropoda","Copepoda"
"83","Calocalanus pavo","Arthropoda","Copepoda"
"84","Channichthys rhinoceratus","Chordata","Teleostei"
"85","Polysteganus undulosus","Chordata","Teleostei"
"86","Auxis thazard","Chordata","Teleostei"
"87","Aluterus monoceros","Chordata","Teleostei"
"88","Lucicutia flavicornis","Arthropoda","Copepoda"
"89","Eukrohnia hamata","Chaetognatha","Sagittoidea"
"90","Subeucalanus subcrassus","Arthropoda","Copepoda"
"91","Calanoides carinatus","Arthropoda","Copepoda"
"92","Megaptera novaeangliae","Chordata","Mammalia"
"93","Paracalanus","Arthropoda","Copepoda"
"94","Thecosomata","Mollusca","Gastropoda"
"95","Trachurus capensis","Chordata","Teleostei"
"96","Nannocalanus minor","Arthropoda","Copepoda"
"97","Pisces","Chordata",NA
"98","Animalia",NA,NA
"99","Pomatomus saltatrix","Chordata","Teleostei"
"100","Calanoida","Arthropoda","Copepoda"
"101","Bivalvia","Mollusca","Bivalvia"
"102","Macronectes giganteus","Chordata","Aves"
"103","Echinodermata","Echinodermata",NA
"104","Seriola lalandi","Chordata","Teleostei"
"105","Parvocalanus","Arthropoda","Copepoda"
"106","Carcharhinus","Chordata","Elasmobranchii"
"107","Uraspis secunda","Chordata","Teleostei"
"108","Macrosetella gracilis","Arthropoda","Copepoda"
"109","Merluccius capensis","Chordata","Teleostei"
"110","Epinephelus andersoni","Chordata","Teleostei"
"111","Euchaeta","Arthropoda","Copepoda"
"112","Calocalanus plumulosus","Arthropoda","Copepoda"
"113","Pleuromamma","Arthropoda","Copepoda"
"114","Limacina","Mollusca","Gastropoda"
"115","Thysanoessa macrura","Arthropoda","Malacostraca"
"116","Dermochelys coriacea","Chordata",NA
"117","Metridia","Arthropoda","Copepoda"
"118","Calanus agulhensis","Arthropoda","Copepoda"
"119","Nematoda","Nematoda",NA
"120","Calanus","Arthropoda","Copepoda"
"121","Balistidae","Chordata","Teleostei"
"122","Epinephelus marginatus","Chordata","Teleostei"
"123","Acartia","Arthropoda","Copepoda"
"124","Squalus megalops","Chordata","Elasmobranchii"
"125","Eucalanus","Arthropoda","Copepoda"
"126","Mecynocera clausi","Arthropoda","Copepoda"
"127","Carcharhinus albimarginatus","Chordata","Elasmobranchii"
"128","Euterpina acutifrons","Arthropoda","Copepoda"
"129","Lepidonotothen squamifrons","Chordata","Teleostei"
"130","Rhabdosargus","Chordata","Teleostei"
"131","Thunnus alalunga","Chordata","Teleostei"
"132","Pleuromamma abdominalis abdominalis","Arthropoda","Copepoda"
"133","Euchaeta marina","Arthropoda","Copepoda"
"134","Seriola rivoliana","Chordata","Teleostei"
"135","Subeucalanus mucronatus","Arthropoda","Copepoda"
"136","Sterna hirundo","Chordata","Aves"
"137","Krefftichthys anderssoni","Chordata","Teleostei"
"138","Pareucalanus attenuatus","Arthropoda","Copepoda"
"139","Clausocalanus laticeps","Arthropoda","Copepoda"
"140","Parvocalanus latus","Arthropoda","Copepoda"
"141","Platax","Chordata","Teleostei"
"142","Euthynnus affinis","Chordata","Teleostei"
"143","Scolecithricella minor minor","Arthropoda","Copepoda"
"144","Oithona frigida","Arthropoda","Copepoda"
"145","Gymnoscopelus nicholsi","Chordata","Teleostei"
"146","Dinoperca petersi","Chordata","Teleostei"
"147","Carangidae","Chordata","Teleostei"
"148","Kyphosus cinerascens","Chordata","Teleostei"
"149","Auxis rochei","Chordata","Teleostei"
"150","Copelata","Chordata","Appendicularia"
"151","Acartia (Acartiura) clausi","Arthropoda","Copepoda"
"152","Galeichthys","Chordata","Teleostei"
"153","Raja straeleni","Chordata","Elasmobranchii"
"154","Nemertea","Nemertea",NA
"155","Acartia (Acartia) negligens","Arthropoda","Copepoda"
"156","Calocalanus contractus","Arthropoda","Copepoda"
"157","Istiompax indica","Chordata","Teleostei"
"158","Rhincalanus nasutus","Arthropoda","Copepoda"
"159","Pachyptila","Chordata","Aves"
"160","Centropages furcatus","Arthropoda","Copepoda"
"161","Thaliacea","Chordata","Thaliacea"
"162","Alepisaurus ferox","Chordata","Teleostei"
"163","Galeorhinus galeus","Chordata","Elasmobranchii"
"164","Electrona antarctica","Chordata","Teleostei"
"165","Delibus nudus","Arthropoda","Copepoda"
"166","Cynoglossus zanzibarensis","Chordata","Teleostei"
"167","Daption capense","Chordata","Aves"
"168","Chelidonichthys queketti","Chordata","Teleostei"
"169","Candacia","Arthropoda","Copepoda"
"170","Porcostoma dentata","Chordata","Teleostei"
"171","Hydrozoa","Cnidaria","Hydrozoa"
"172","Chaetognatha","Chaetognatha",NA
"173","Pomadasys","Chordata","Teleostei"
"174","Cirripedia","Arthropoda","Thecostraca"
"175","Macronectes halli","Chordata","Aves"
"176","Zeus capensis","Chordata","Teleostei"
"177","Eucalanus elongatus elongatus","Arthropoda","Copepoda"
"178","Euphausiacea","Arthropoda","Malacostraca"
"179","Plectorhinchus","Chordata","Teleostei"
"180","Thyrsites atun","Chordata","Teleostei"
"181","Rhincalanus cornutus cornutus","Arthropoda","Copepoda"
"182","Physeter macrocephalus","Chordata","Mammalia"
"183","Pleuromamma robusta robusta","Arthropoda","Copepoda"
"184","Cosmocalanus darwinii darwinii","Arthropoda","Copepoda"
"185","Anthozoa","Cnidaria","Anthozoa"
"186","Procellariidae","Chordata","Aves"
"187","Polyamblyodon germanum","Chordata","Teleostei"
"188","Pteroplatytrygon violacea","Chordata","Elasmobranchii"
"189","Halobaena caerulea","Chordata","Aves"
"190","Calocalanus styliremis","Arthropoda","Copepoda"
"191","Cephalopoda","Mollusca","Cephalopoda"
"192","Prionace glauca","Chordata","Elasmobranchii"
"193","Gracila albomarginata","Chordata","Teleostei"
"194","Scyphozoa","Cnidaria","Scyphozoa"
"195","Canthocalanus pauper","Arthropoda","Copepoda"
"196","Calanoides","Arthropoda","Copepoda"
"197","Brachyura","Arthropoda","Malacostraca"
"198","Isopoda","Arthropoda","Malacostraca"
"199","Pterotracheoidea","Mollusca","Gastropoda"
"200","Mysida","Arthropoda","Malacostraca"
"201","Stomatopoda","Arthropoda","Malacostraca"
"202","Pleuromamma indica","Arthropoda","Copepoda"
"203","Anous","Chordata","Aves"
"204","Sapphirinidae","Arthropoda","Copepoda"
"205","Haloptilus","Arthropoda","Copepoda"
"206","Callorhinchus capensis","Chordata","Holocephali"
"207","Clausocalanus furcatus","Arthropoda","Copepoda"
"208","Paracaesio xanthura","Chordata","Teleostei"
"209","Carcharhinus longimanus","Chordata","Elasmobranchii"
"210","Rhincalanus","Arthropoda","Copepoda"
"211","Centropages","Arthropoda","Copepoda"
"212","Platyhelminthes","Platyhelminthes",NA
"213","Sergestidae","Arthropoda","Malacostraca"
"214","Ctenophora","Ctenophora",NA
"215","Branchiostoma","Chordata","Leptocardii"
"216","Gymnoscopelus braueri","Chordata","Teleostei"
"217","Tomopteridae","Annelida","Polychaeta"
"218","Scombridae","Chordata","Teleostei"
"219","Sepia australis","Mollusca","Cephalopoda"
"220","Cumacea","Arthropoda","Malacostraca"
"221","Porifera","Porifera",NA
"222","Tanaidacea","Arthropoda","Malacostraca"
"223","Diplostraca","Arthropoda","Branchiopoda"
"224","Pleuromamma gracilis gracilis","Arthropoda","Copepoda"
"225","Undinula vulgaris","Arthropoda","Copepoda"
"226","Clytemnestra","Arthropoda","Copepoda"
"227","Anomura","Arthropoda","Malacostraca"
"228","Congiopodus spinifer","Chordata","Teleostei"
"229","Nudibranchia","Mollusca","Gastropoda"
"230","Gymnosomata","Mollusca","Gastropoda"
"231","Brachiopoda","Brachiopoda",NA
"232","Halobates","Arthropoda","Hexapoda"
"233","Sapphirina","Arthropoda","Copepoda"
"234","Rotifera","Rotifera",NA
"235","Scolecithrix danae","Arthropoda","Copepoda"
"236","Tunicata","Chordata",NA
"237","Janthina","Mollusca","Gastropoda"
"238","Larus cirrocephalus","Chordata","Aves"
"239","Etrumeus whiteheadi","Chordata","Teleostei"
"240","Eryonidae","Arthropoda","Malacostraca"
"241","Oceanites oceanicus","Chordata","Aves"
"242","Temora discaudata","Arthropoda","Copepoda"
"243","Platax teira","Chordata","Teleostei"
"244","Dissostichus eleginoides","Chordata","Teleostei"
"245","Istiophorus platypterus","Chordata","Teleostei"
"246","Paracalanus denudatus","Arthropoda","Copepoda"
"247","Carcharhinus plumbeus","Chordata","Elasmobranchii"
"248","Temora stylifera","Arthropoda","Copepoda"
"249","Copilia","Arthropoda","Copepoda"
"250","Caranx sexfasciatus","Chordata","Teleostei"
"251","Anthoathecata","Cnidaria","Hydrozoa"
"252","Leucoraja wallacei","Chordata","Elasmobranchii"
"253","Scomberomorus plurilineatus","Chordata","Teleostei"
"254","Neocalanus gracilis","Arthropoda","Copepoda"
"255","Acartia (Odontacartia) erythraea erythraea","Arthropoda","Copepoda"
"256","Calanopia elliptica","Arthropoda","Copepoda"
"257","Microcalanus pygmaeus","Arthropoda","Copepoda"
"258","Mustelus palumbes","Chordata","Elasmobranchii"
"259","Temoropia mayumbaensis","Arthropoda","Copepoda"
"260","Abalistes stellatus","Chordata","Teleostei"
"261","Kyphosus","Chordata","Teleostei"
"262","Calanoides acutus","Arthropoda","Copepoda"
"263","Haematopus moquini","Chordata","Aves"
"264","Scolecithricella","Arthropoda","Copepoda"
"265","Rhincodon typus","Chordata","Elasmobranchii"
"266","Euchaeta concinna","Arthropoda","Copepoda"
"267","Kyphosus vaigiensis","Chordata","Teleostei"
"268","Subeucalanus subtenuis","Arthropoda","Copepoda"
"269","Helicolenus dactylopterus","Chordata","Teleostei"
"270","Morus bassanus","Chordata","Aves"
"271","Subeucalanus crassus","Arthropoda","Copepoda"
"272","Pleuromamma borealis","Arthropoda","Copepoda"
"273","Acrocalanus gracilis","Arthropoda","Copepoda"
"274","Rissa tridactyla","Chordata","Aves"
"275","Lophius vomerinus","Chordata","Teleostei"
"276","Sterna vittata","Chordata","Aves"
"277","Austroglossus pectoralis","Chordata","Teleostei"
"278","Pelecanoides urinatrix","Chordata","Aves"
"279","Protomyctophum bolini","Chordata","Teleostei"
"280","Sterna bergii","Chordata","Aves"
"281","Eubalaena australis","Chordata","Mammalia"
"282","Pyrosomatidae","Chordata","Thaliacea"
"283","Pachymetopon grande","Chordata","Teleostei"
"284","Macrourus holotrachys","Chordata","Teleostei"
"285","Pelecanoides","Chordata","Aves"
"286","Alcidae","Chordata","Aves"
"287","Phaethon","Chordata","Aves"
"288","Clausocalanus brevipes","Arthropoda","Copepoda"
"289","Bryozoa","Bryozoa",NA
"290","Velella","Cnidaria","Hydrozoa"
"291","Physalia","Cnidaria","Hydrozoa"
"292","Porpita","Cnidaria","Hydrozoa"
"293","Microsetella norvegica","Arthropoda","Copepoda"
"294","Carcharhinus obscurus","Chordata","Elasmobranchii"
"295","Euchirella","Arthropoda","Copepoda"
"296","Pachyptila desolata","Chordata","Aves"
"297","Actinopterygii","Chordata",NA
"298","Makaira","Chordata","Teleostei"
"299","Pristipomoides filamentosus","Chordata","Teleostei"
"300","Isurus oxyrinchus","Chordata","Elasmobranchii"
"301","Hydroprogne caspia","Chordata","Aves"
"302","Phocoena phocoena","Chordata","Mammalia"
"303","Lepidopus caudatus","Chordata","Teleostei"
"304","Gonorynchus gonorynchus","Chordata","Teleostei"
"305","Scaphocalanus","Arthropoda","Copepoda"
"306","Rostroraja alba","Chordata","Elasmobranchii"
"307","Sipunculidae","Annelida",NA
"308","Scomber scombrus","Chordata","Teleostei"
"309","Crustacea","Arthropoda",NA
"310","Auxis","Chordata","Teleostei"
"311","Euphausiidae","Arthropoda","Malacostraca"
"312","Todaropsis eblanae","Mollusca","Cephalopoda"
"313","Dipturus pullopunctatus","Chordata","Elasmobranchii"
"314","Harpacticoida","Arthropoda","Copepoda"
"315","[unassigned] Enteropneusta","Hemichordata","Enteropneusta"
"316","Flaccisagitta enflata","Chaetognatha","Sagittoidea"
"317","Palinuridae","Arthropoda","Malacostraca"
"318","Penilia","Arthropoda","Branchiopoda"
"319","Phoronidae","Phoronida",NA
"320","Rhizocephala","Arthropoda","Thecostraca"
"321","Serratosagitta pacifica","Chaetognatha","Sagittoidea"
"322","Carcharhinus limbatus","Chordata","Elasmobranchii"
"323","Paradiplospinus gracilis","Chordata","Teleostei"
"324","Pterosagitta draco","Chaetognatha","Sagittoidea"
"325","Cestoda","Platyhelminthes","Cestoda"
"326","Leptostraca","Arthropoda","Malacostraca"
"327","Makaira nigricans","Chordata","Teleostei"
"328","Oligochaeta","Annelida","Clitellata"
"329","Pterodroma lessonii","Chordata","Aves"
"330","Echinoidea","Echinodermata","Echinoidea"
"331","Sagitta bipunctata","Chaetognatha","Sagittoidea"
"332","Flaccisagitta hexaptera","Chaetognatha","Sagittoidea"
"333","Evadne","Arthropoda","Branchiopoda"
"334","Phaethon lepturus","Chordata","Aves"
"335","Pagellus natalensis","Chordata","Teleostei"
"336","Oreochromis mossambicus","Chordata","Teleostei"
"337","Aidanosagitta regularis","Chaetognatha","Sagittoidea"
"338","Caranx","Chordata","Teleostei"
"339","Ferosagitta ferox","Chaetognatha","Sagittoidea"
"340","Acartia (Acartia) danae","Arthropoda","Copepoda"
"341","Ophiuroidea","Echinodermata","Ophiuroidea"
"342","Centropages orsinii","Arthropoda","Copepoda"
"343","Congiopodus torvus","Chordata","Teleostei"
"344","Kajikia audax","Chordata","Teleostei"
"345","Larus","Chordata","Aves"
"346","Pseudodiaptomus","Arthropoda","Copepoda"
"347","Arnoglossus capensis","Chordata","Teleostei"
"348","Labidocera","Arthropoda","Copepoda"
"349","Zonosagitta bedoti","Chaetognatha","Sagittoidea"
"350","Euthynnus alletteratus","Chordata","Teleostei"
"351","Belonidae","Chordata","Teleostei"
"352","Galeocerdo cuvier","Chordata","Elasmobranchii"
"353","Mesosagitta minima","Chaetognatha","Sagittoidea"
"354","Fulmarus glacialoides","Chordata","Aves"
"355","Turbellaria","Platyhelminthes","Turbellaria"
"356","Zonosagitta pulchra","Chaetognatha","Sagittoidea"
"357","Krohnitta subtilis","Chaetognatha","Sagittoidea"
"358","Ferosagitta robusta","Chaetognatha","Sagittoidea"
"359","Sipuncula","Annelida",NA
"360","Uraspis helvola","Chordata","Teleostei"
"361","Kyphosus sectatrix","Chordata","Teleostei"
"362","Krohnitta pacifica","Chaetognatha","Sagittoidea"
"363","Aidanosagitta neglecta","Chaetognatha","Sagittoidea"
"364","Osteichthyes","Chordata",NA
"365","Clausocalanus pergens","Arthropoda","Copepoda"
"366","Epinephelus rivulatus","Chordata","Teleostei"
"367","Clausocalanus paululus","Arthropoda","Copepoda"
"368","Acrocalanus longicornis","Arthropoda","Copepoda"
"369","Rhabdosargus globiceps","Chordata","Teleostei"
"370","Mursia cristiata","Arthropoda","Malacostraca"
"371","Cheloniidae","Chordata",NA
"372","Pyrosomatida","Chordata","Thaliacea"
"373","Glossogobius callidus","Chordata","Teleostei"
"374","Phoronida","Phoronida",NA
"375","Pteropoda","Mollusca","Gastropoda"
"376","Holohalaelurus regani","Chordata","Elasmobranchii"
"377","Aphrodroma brevirostris","Chordata","Aves"
"378","Fritillaria","Chordata","Appendicularia"
"379","Tornaria","Hemichordata","Enteropneusta"
"380","Atlantidae","Mollusca","Gastropoda"
"381","Gymnoscopelus fraseri","Chordata","Teleostei"
"382","Anous tenuirostris","Chordata","Aves"
"383","Haloptilus longicornis","Arthropoda","Copepoda"
"384","Halaelurus natalensis","Chordata","Elasmobranchii"
"385","Oncaea curvata","Arthropoda","Copepoda"
"386","Scyllaridae","Arthropoda","Malacostraca"
"387","Pontellina plumata","Arthropoda","Copepoda"
"388","Triconia conifera","Arthropoda","Copepoda"
"389","Temora turbinata","Arthropoda","Copepoda"
"390","Spondyliosoma emarginatum","Chordata","Teleostei"
"391","Sterna","Chordata","Aves"
"392","Scyliorhinus capensis","Chordata","Elasmobranchii"
"393","Acanthurus nigrofuscus","Chordata","Teleostei"
"394","Pomadasys kaakan","Chordata","Teleostei"
"395","Sarda orientalis","Chordata","Teleostei"
"396","Haploblepharus edwardsii","Chordata","Elasmobranchii"
"397","Heterorhabdus papilliger","Arthropoda","Copepoda"
"398","Aetideus armatus","Arthropoda","Copepoda"
"399","Protomyctophum tenisoni","Chordata","Teleostei"
"400","Carcharhinus sorrah","Chordata","Elasmobranchii"
"401","Xiphias gladius","Chordata","Teleostei"
"402","Clausocalanus","Arthropoda","Copepoda"
"403","Pterodroma mollis","Chordata","Aves"
"404","Merluccius paradoxus","Chordata","Teleostei"
"405","Ctenocalanus citer","Arthropoda","Copepoda"
"406","Pleuromamma xiphias","Arthropoda","Copepoda"
"407","Pseudosagitta maxima","Chaetognatha","Sagittoidea"
"408","Halacaroidea","Arthropoda","Arachnida"
"409","Diplodus hottentotus","Chordata","Teleostei"
"410","Lucicutia ovalis","Arthropoda","Copepoda"
"411","Parvocalanus scotti","Arthropoda","Copepoda"
"412","Ctenocalanus","Arthropoda","Copepoda"
"413","Chaetodon auriga","Chordata","Teleostei"
"414","Mesocalanus tenuicornis","Arthropoda","Copepoda"
"415","Acroteriobatus annulatus","Chordata","Elasmobranchii"
"416","Chrysoblephus lophus","Chordata","Teleostei"
"417","Centropyge multispinis","Chordata","Teleostei"
"418","Parvocalanus elegans","Arthropoda","Copepoda"
"419","Mustelus mustelus","Chordata","Elasmobranchii"
"420","Labroides dimidiatus","Chordata","Teleostei"
"421","Ctenocidaris (Eurocidaris) nutrix","Echinodermata","Echinoidea"
"422","Pachyptila salvini","Chordata","Aves"
"423","Pachyptila turtur","Chordata","Aves"
"424","Brama orcini","Chordata","Teleostei"
"425","Conchoecetta giesbrechti","Arthropoda","Ostracoda"
"426","Ctenochaetus","Chordata","Teleostei"
"427","Pristiapogon kallopterus","Chordata","Teleostei"
"428","Paraeuchaeta erebi","Arthropoda","Copepoda"
"429","Scaridae","Chordata","Teleostei"
"430","Paraeuchaeta biloba","Arthropoda","Copepoda"
"431","Eupercaria incertae sedis","Chordata","Teleostei"
"432","Myliobatis aquila","Chordata","Elasmobranchii"
"433","Pelecanus onocrotalus","Chordata","Aves"
"434","Polyprion americanus","Chordata","Teleostei"
"435","Sternula albifrons","Chordata","Aves"
"436","Orthoconchoecia atlantica","Arthropoda","Ostracoda"
"437","Sterna sandvicensis","Chordata","Aves"
"438","Pterodroma","Chordata","Aves"
"439","Proceroecia procera","Arthropoda","Ostracoda"
"440","Sterna dougallii","Chordata","Aves"
"441","Lichia amia","Chordata","Teleostei"
"442","Delphinus delphis","Chordata","Mammalia"
"443","Halichoeres hortulanus","Chordata","Teleostei"
"444","Lutjanus kasmira","Chordata","Teleostei"
"445","Cypridina dentata","Arthropoda","Ostracoda"
"446","Bathyraja eatonii","Chordata","Elasmobranchii"
"447","Acanthurus","Chordata","Teleostei"
"448","Thalassoica antarctica","Chordata","Aves"
"449","Lethrinus nebulosus","Chordata","Teleostei"
"450","Sepia hieronis","Mollusca","Cephalopoda"
"451","Paraconchoecia decipiens","Arthropoda","Ostracoda"
"452","Coryphaenidae","Chordata","Teleostei"
"453","Metaconchoecia rotundata","Arthropoda","Ostracoda"
"454","Euconchoecia aculeata","Arthropoda","Ostracoda"
"455","Chlidonias leucopterus","Chordata","Aves"
"456","Cephalopholis argus","Chordata","Teleostei"
"457","Raja miraletus","Chordata","Elasmobranchii"
"458","Lutjanus fulviflamma","Chordata","Teleostei"
"459","Zanclorhynchus spinifer","Chordata","Teleostei"
"460","Phalacrocorax capensis","Chordata","Aves"
"461","Otolithes ruber","Chordata","Teleostei"
"462","Chaetodon kleinii","Chordata","Teleostei"
"463","Sterechinus diadema","Echinodermata","Echinoidea"
"464","Serranidae","Chordata","Teleostei"
"465","Onychoprion fuscatus","Chordata","Aves"
"466","Ablennes hians","Chordata","Teleostei"
"467","Pycnochromis dimidiatus","Chordata","Teleostei"
"468","Pseudoconchoecia concentrica","Arthropoda","Ostracoda"
"469","Paracallionymus costatus","Chordata","Teleostei"
"470","Fregetta tropica","Chordata","Aves"
"471","Palinurus gilchristi","Arthropoda","Malacostraca"
"472","Dascyllus trimaculatus","Chordata","Teleostei"
"473","Discoconchoecia elegans","Arthropoda","Ostracoda"
"474","Cyclothone","Chordata","Teleostei"
"475","Bramidae","Chordata","Teleostei"
"476","Halocypris inflata","Arthropoda","Ostracoda"
"477","Protomyctophum andriashevi","Chordata","Teleostei"
"478","Mikroconchoecia curta","Arthropoda","Ostracoda"
"479","Pomadasys commersonnii","Chordata","Teleostei"
"480","Mobula birostris","Chordata","Elasmobranchii"
"481","Pseudanthias squamipinnis","Chordata","Teleostei"
"482","Stercorarius antarcticus","Chordata","Aves"
"483","Pseudocheilinus hexataenia","Chordata","Teleostei"
"484","Siriella gracilis","Arthropoda","Malacostraca"
"485","Acropora","Cnidaria","Anthozoa"
"486","Chaetodon trifasciatus","Chordata","Teleostei"
"487","Orthoconchoecia striola","Arthropoda","Ostracoda"
"488","Chaetodon guttatissimus","Chordata","Teleostei"
"489","Stenella longirostris","Chordata","Mammalia"
"490","Scolecithricella marginata","Arthropoda","Copepoda"
"491","Sargocentron diadema","Chordata","Teleostei"
"492","Electrona carlsbergi","Chordata","Teleostei"
"493","Notolepis coatsorum","Chordata","Teleostei"
"494","Champsodon capensis","Chordata","Teleostei"
"495","Pseudogramma polyacantha","Chordata","Teleostei"
"496","Cranchia scabra","Mollusca","Cephalopoda"
"497","Synodus variegatus","Chordata","Teleostei"
"498","Conchoecia magna","Arthropoda","Ostracoda"
"499","Thalassoma hebraicum","Chordata","Teleostei"
"500","Larus argentatus","Chordata","Aves"
"501","Abatus cordatus","Echinodermata","Echinoidea"
"502","Electrona subaspera","Chordata","Teleostei"
"503","Sphoeroides pachygaster","Chordata","Teleostei"
"504","Alacia alata","Arthropoda","Ostracoda"
"505","Conchoecilla daphnoides","Arthropoda","Ostracoda"
"506","Fowleria aurita","Chordata","Teleostei"
"507","Sula sula","Chordata","Aves"
"508","Stomias boa","Chordata","Teleostei"
"509","Istiblennius edentulus","Chordata","Teleostei"
"510","Miracia","Arthropoda","Copepoda"
"511","Gymnothorax undulatus","Chordata","Teleostei"
"512","Acanthurus leucosternon","Chordata","Teleostei"
"513","Bathyraja murrayi","Chordata","Elasmobranchii"
"514","Apogon semiornatus","Chordata","Teleostei"
"515","Myripristis murdjan","Chordata","Teleostei"
"516","Pygoplites diacanthus","Chordata","Teleostei"
"517","Octocorallia","Cnidaria","Anthozoa"
"518","Enteromius anoplus","Chordata","Teleostei"
"519","Anguilla mossambica","Chordata","Teleostei"
"520","Caranx ignobilis","Chordata","Teleostei"
"521","Lutjanus bohar","Chordata","Teleostei"
"522","Acanthurus triostegus","Chordata","Teleostei"
"523","Galeichthys feliceps","Chordata","Teleostei"
"524","Tursiops truncatus","Chordata","Mammalia"
"525","Terapon jarbua","Chordata","Teleostei"
"526","Canthigaster valentini","Chordata","Teleostei"
"527","Sphyrna zygaena","Chordata","Elasmobranchii"
"528","Heterorhabdus austrinus","Arthropoda","Copepoda"
"529","Rachycentron canadum","Chordata","Teleostei"
"530","Argyrops","Chordata","Teleostei"
"531","Paraconchoecia oblonga","Arthropoda","Ostracoda"
"532","Euconchoecia chierchiae","Arthropoda","Ostracoda"
"533","Cheilodactylus fasciatus","Chordata","Teleostei"
"534","Euphausia vallentini","Arthropoda","Malacostraca"
"535","Chlorurus sordidus","Chordata","Teleostei"
"536","Chaetodon lunula","Chordata","Teleostei"
"537","Euphausia frigida","Arthropoda","Malacostraca"
"538","Paracirrhites forsteri","Chordata","Teleostei"
"539","Platyconchoecia prosadene","Arthropoda","Ostracoda"
"540","Diplodus capensis","Chordata","Teleostei"
"541","Pliotrema warreni","Chordata","Elasmobranchii"
"542","Torpedo fuscomaculata","Chordata","Elasmobranchii"
