"Class";"Nb_NomSp";"Nb_CS";"Nb_ncbi";"Nb_mito";"ferti";"ferti_I";"image";"genitals";"hard_skeleton";"res0";"res1";"res2";"Phylum";"gs_Mean";"year_Median"
"Ostracoda";5828;3;105;59;"I";TRUE;"N";"Y";"Y";-1.8859565407684;-2.30511295304357;-2.33203246097853;"Arthropoda";7.79144385;1976
"Malacostraca";32347;76;3999;3637;"I";TRUE;"Y";"Y";"Y";-1.15359428168963;-1.15027625227161;-1.18767893064768;"Arthropoda";6.28765792;1970
"Thecostraca";1796;10;299;252;"I";TRUE;"N";"Y";"Y";1.76204109910504;1.6567791262942;1.6808990531104;"Arthropoda";6.006688963;1937
"Copepoda";10740;22;621;493;"I";TRUE;"N";"Y";"Y";0.174068982367057;0.200286625041792;0.184960382122421;"Arthropoda";5.726933333;1967
"Remipedia";28;0;17;16;"I";TRUE;"N";"Y";"Y";-0.641324572451668;-0.665059801861585;-0.663447855400921;"Arthropoda";2.333333333;2003
"Cephalocarida";12;0;3;3;"I";TRUE;"N";"Y";"Y";-0.235980695596635;-0.311342377931696;-0.31313207835452;"Arthropoda";2.4;1973
"Branchiopoda";49;0;26;26;"I";TRUE;"Y";"Y";"Y";-0.816567795077541;-0.832457842374541;-0.835815744308757;"Arthropoda";2.333333333;1887
"Tantulocarida";38;0;2;0;"I";TRUE;"N";"Y";"Y";-0.264577147204118;-0.380610216297908;-0.369902942361239;"Arthropoda";1.652173913;1991
"Collembola";33;0;8;6;"I";TRUE;"N";"Y";"Y";-0.441169166553829;-0.511043622499182;-0.503201164899115;"Arthropoda";2.0625;1924
"Insecta";1589;1;345;334;"I";TRUE;"Y";"Y";"Y";-2.42955076690851;-2.48444181785132;-2.49834638017846;"Arthropoda";4.726190476;1934
"Pycnogonida";1345;2;145;112;"E";FALSE;"N";"N";"Y";-0.725112267784978;-0.805857051634007;-0.787967556722964;"Arthropoda";17.02531646;1965
"Merostomata";4;0;4;4;"E";FALSE;"Y";"N";"Y";-0.266266994743799;-0.311687130587268;-0.31264667095847;"Arthropoda";1.333333333;1793
"Arachnida";1541;0;61;41;"I";TRUE;"Y";"Y";"Y";-2.0128249242582;-2.3324015325299;-2.33431922847681;"Arthropoda";6.642241379;1984
"Clitellata";974;3;176;171;"E";FALSE;"N";"N";"N";-0.0134121530848213;-0.115479470255278;-0.131482691555184;"Annelida";7.065217391;1983
"Polychaeta";11901;64;1199;975;"B";FALSE;"N";"N";"N";5.41595114528854;5.62423068167403;5.65225698294883;"Annelida";8.630166788;1962
"Nemertea";676;10;92;84;"E";FALSE;"N";"N";"N";4.15837558486969;4.12671026191268;4.11993957076774;"Nemertea";4.017857143;1937
"Rhynchonellata";377;0;63;37;"E";FALSE;"N";"N";"Y";-1.46138528042631;-1.53946576739063;-1.50319435905423;"Brachiopoda";3.27826087;1939
"Lingulata";24;0;8;2;"E";FALSE;"N";"N";"Y";-0.426806216319912;-0.486922127584296;-0.454371169191408;"Brachiopoda";4;1846
"Craniata";12;0;3;3;"E";FALSE;"N";"N";"Y";-0.235980695596635;-0.311342377931696;-0.31313207835452;"Brachiopoda";3;1920
"Eurotatoria";143;1;20;17;"I";TRUE;"N";"Y";"N";0.855971411832551;0.781546757027816;0.785634984410231;"Rotifera";4.333333333;1929
"Monoplacophora";30;0;3;3;"E";FALSE;"N";"N";"Y";-0.282955873811751;-0.380892278509163;-0.384100487101675;"Mollusca";4.285714286;1990
"Gastropoda";37107;81;4106;3974;"B";FALSE;"Y";"B";"Y";-1.40411912181307;-1.37325876256843;-1.49052176359534;"Mollusca";10.92667845;1937
"Bivalvia";8340;28;1310;1107;"E";FALSE;"N";"N";"Y";0.613690837834699;0.525671237895164;0.566134933213461;"Mollusca";6.916252073;1901
"Polyplacophora";1019;1;171;155;"E";FALSE;"N";"N";"Y";-1.36176828827087;-1.44510677106835;-1.44522842541914;"Mollusca";12.27710843;1919
"Caudofoveata";141;0;7;6;"E";FALSE;"N";"N";"N";-0.580112015278318;-0.726926537153567;-0.730696031383467;"Mollusca";10.07142857;1985
"Solenogastres";290;0;11;7;"I";TRUE;"N";"N";"N";-0.817119119420617;-1.00667998093719;-1.00685269804445;"Mollusca";3.222222222;1978
"Scaphopoda";577;0;23;14;"E";FALSE;"N";"N";"Y";-1.20022861862436;-1.42842484191045;-1.42668897559872;"Mollusca";12.27659574;1920
"Cephalopoda";814;9;362;360;"I";TRUE;"Y";"Y";"Y";2.11826184357682;1.6060527629723;1.58698731923;"Mollusca";4.573033708;1925
"Gymnolaemata";5604;8;191;176;"I";TRUE;"N";"N";"Y";-0.406811219107077;-0.518830970724487;-0.573189542290232;"Bryozoa";7.158365262;1952
"Homoscleromorpha";126;1;29;26;"E";FALSE;"N";"N";"Y";0.781945317464814;0.651047255835904;0.655156024261526;"Porifera";14;1998
"Hexactinellida";681;0;50;44;"E";FALSE;"N";"N";"Y";-1.52358697410798;-1.70355667934953;-1.70980231793685;"Porifera";5.279069767;1927
"Calcarea";792;3;71;3;"E";FALSE;"N";"N";"Y";0.816500020408965;0.79394806403069;0.923338765929046;"Porifera";9.542168675;1917
"Demospongiae";7362;12;827;524;"E";FALSE;"N";"N";"Y";-1.61053022200889;-1.67704132442487;-1.56201253711809;"Porifera";15.36951983;1929
