"","i",""
"509","Ampithoe gammaroides","0"
"510","Ampithoe helleri","8"
"511","Ampithoe littorina","0"
"512","Ampithoe neglecta","0"
"513","Ampithoe pomboi","0"
"514","Ampithoe ramondi","16"
"515","Ampithoe riedli","0"
"516","Ampithoe rubricata","16"
"517","Ampithoe spuria","0"
"518","Ampithoe vaillantii","0"
"519","Ampithoe valida","668"
"520","Cymadusa crassicornis","0"
"521","Cymadusa filosa","33"
"522","Pleonexes gammaroides","0"
"523","Sunamphitoe pelagica","1"
"524","Barrowgammarus macginitei","0"
"525","Aora atlantidea","0"
"526","Aora gracilis","19"
"527","Aora spinicornis","0"
"528","Arctolembos arcticus","0"
"529","Autonoe angularis","0"
"530","Autonoe borealis","0"
"531","Autonoe denticarpus","0"
"532","Autonoe karamani","0"
"533","Autonoe longidigitans","0"
"534","Autonoe longipes","1"
"535","Autonoe megacheir","0"
"536","Autonoe rubromaculatus","0"
"537","Autonoe spiniventris","0"
"538","Autonoe viduarum","0"
"539","Autonoe websteri","0"
"540","Bemlos leptocheirus","0"
"541","Coremapus versiculatus","0"
"542","Lembos arcticus","0"
"543","Lembos denticarpus","0"
"544","Lembos hirsutipes","0"
"545","Lembos longipes","0"
"546","Lembos websteri","1"
"547","Leptocheirus bispinosus","0"
"548","Leptocheirus guttatus","0"
"549","Leptocheirus hirsutimanus","4"
"550","Leptocheirus longimanus","0"
"551","Leptocheirus mariae","0"
"552","Leptocheirus pectinatus","0"
"553","Leptocheirus pilosus","0"
"554","Leptocheirus tricristatus","0"
"555","Microdeutopus algicola","0"
"556","Microdeutopus anomalus","3"
"557","Microdeutopus armatus","0"
"558","Microdeutopus bifidus","0"
"559","Microdeutopus chelifer","1"
"560","Microdeutopus damnoniensis","0"
"561","Microdeutopus gryllotalpa","0"
"562","Microdeutopus obtusatus","0"
"563","Microdeutopus similis","0"
"564","Microdeutopus sporadhi","0"
"565","Microdeutopus stationis","1"
"566","Microdeutopus versiculatus","0"
"567","Tethylembos viguieri","0"
"568","Uncinotarsus pellucidus","0"
"569","Unciola crassipes","0"
"570","Unciola crenatipalma","0"
"571","Unciola laticornis","0"
"572","Unciola leucopis","0"
