"","Species","Phylum","Class"
"2099","Haliclona (Gellius)","Porifera","Demospongiae"
"2100","Austrolaenilla antarctica","Annelida","Polychaeta"
"2101","Guitarra dendyi","Porifera","Demospongiae"
"2102","Plocamionida gaussiana","Porifera","Demospongiae"
"2103","Icelozoon lepralioides","Bryozoa","Gymnolaemata"
"2104","Cellarinella latilaminata","Bryozoa","Gymnolaemata"
"2105","Staurotheca","Cnidaria","Hydrozoa"
"2106","Ampelisca dallenei","Arthropoda","Malacostraca"
"2107","Serolella bouvieri","Arthropoda","Malacostraca"
"2108","Polygordius antarcticus","Annelida","Polychaeta"
"2109","Tylenchus","Nematoda","Chromadorea"
"2110","Cucumaria dudexa","Echinodermata","Holothuroidea"
"2111","Lissodendoryx","Porifera","Demospongiae"
"2112","Petrobiona","Porifera","Calcarea"
"2113","Bolocera paucicornis","Cnidaria","Anthozoa"
"2114","Camptoplites latus","Bryozoa","Gymnolaemata"
"2115","Camptoplites lewaldi","Bryozoa","Gymnolaemata"
"2116","Austropallene tibicina","Arthropoda","Pycnogonida"
"2117","Fasciculipora","Bryozoa","Stenolaemata"
"2118","Terebella ehlersi","Annelida","Polychaeta"
"2119","Acirsa antarctica","Mollusca","Gastropoda"
"2120","Pleurotomella simillima","Mollusca","Gastropoda"
"2121","Halecium jaederholmi","Cnidaria","Hydrozoa"
"2122","Parakanthophoreus weddellensis","Arthropoda","Malacostraca"
"2123","Solmundella","Cnidaria","Hydrozoa"
"2124","Corymorpha","Cnidaria","Hydrozoa"
"2125","Eunice","Annelida","Polychaeta"
"2126","Deontostoma timmerchioi","Nematoda","Enoplea"
"2127","Artemidactis victrix","Cnidaria","Anthozoa"
"2128","Toretocheilum turbinatum","Bryozoa","Gymnolaemata"
"2129","Oradarea tridentata","Arthropoda","Malacostraca"
"2130","Agnezia glaciata","Chordata","Ascidiacea"
"2131","Thaumeledone peninsulae","Mollusca","Cephalopoda"
"2132","Habrotrocha constricta","Rotifera","Eurotatoria"
"2133","Pectinidae","Mollusca","Bivalvia"
"2134","Didemnum","Chordata","Ascidiacea"
"2135","Amastigia","Bryozoa","Gymnolaemata"
"2136","Ophiomastus bispinosus","Echinodermata","Ophiuroidea"
"2137","Exallozoon simplicissimum","Bryozoa","Gymnolaemata"
"2138","Stegosoladidus ingens","Arthropoda","Malacostraca"
"2139","Hirondellea antarctica","Arthropoda","Malacostraca"
"2140","Paramolgula gigantea","Chordata","Ascidiacea"
"2141","Onchocalanus wolfendeni","Arthropoda","Copepoda"
"2142","Halecium banzare","Cnidaria","Hydrozoa"
"2143","Abatus cavernosus bidens","Echinodermata","Echinoidea"
"2144","Linhomoeus","Nematoda","Chromadorea"
"2145","Melphidippa","Arthropoda","Malacostraca"
"2146","Sternaspis scutata","Annelida","Polychaeta"
"2147","Ammothea allopodes","Arthropoda","Pycnogonida"
"2148","Eteone sculpta","Annelida","Polychaeta"
"2149","Austrosignum glaciale","Arthropoda","Malacostraca"
"2150","Chlanidota","Mollusca","Gastropoda"
"2151","Probuccinum angulatum","Mollusca","Gastropoda"
"2152","Fregetta grallaria","Chordata","Aves"
"2153","Aplidium coeruleum","Chordata","Ascidiacea"
"2154","Pseudhaloptilus eurygnathus","Arthropoda","Copepoda"
"2155","Metafannyella lepidota","Cnidaria","Anthozoa"
"2156","Cuspidaria minima","Mollusca","Bivalvia"
"2157","Mandelstamia antarctica","Arthropoda","Ostracoda"
"2158","Cerithiella antarctica","Mollusca","Gastropoda"
"2159","Epimeria (Drakepimeria) loerzae","Arthropoda","Malacostraca"
"2160","Oligochaeta","Annelida","Clitellata"
"2161","Cheiraster","Echinodermata","Asteroidea"
"2162","Ihlea","Chordata","Thaliacea"
"2163","Lysasterias heteractis","Echinodermata","Asteroidea"
"2164","Aglaophamus paramalmgreni","Annelida","Polychaeta"
"2165","Pellilitorina setosa","Mollusca","Gastropoda"
"2166","Meridionalicythere megalodiscus","Arthropoda","Ostracoda"
"2167","Oikopleura (Vexillaria) gaussica","Chordata","Appendicularia"
"2168","Scaphocalanus affinis","Arthropoda","Copepoda"
"2169","Dactylopusia","Arthropoda","Copepoda"
"2170","Colossendeis longirostris","Arthropoda","Pycnogonida"
"2171","Clavodorum antarcticum","Annelida","Polychaeta"
"2172","Yoldiella oblonga","Mollusca","Bivalvia"
"2173","Diplulmaris antarctica","Cnidaria","Scyphozoa"
"2174","Ainigmaptilon edisto","Cnidaria","Anthozoa"
"2175","Agulhasina sudoceanica","Arthropoda","Ostracoda"
"2176","Onuphidae","Annelida","Polychaeta"
"2177","Uristes","Arthropoda","Malacostraca"
"2178","Eucalanidae","Arthropoda","Copepoda"
"2179","Leucon","Arthropoda","Malacostraca"
"2180","Asbestopluma","Porifera","Demospongiae"
"2181","Aplidium fuegiense","Chordata","Ascidiacea"
"2182","Acanthophragma polaris","Bryozoa","Gymnolaemata"
"2183","Pseudoconchoecia serrulata","Arthropoda","Ostracoda"
